SaleID,CustomerID,BranchID,SaleDate,TotalAmount
73,13738,169,12/6/2024,4813.91
74,8545,53,10/6/2023,3656.42
75,12970,34,9/7/2023,6912.65
76,2378,3,7/27/2024,9355.27
77,18449,26,5/31/2022,8110.75
78,16577,68,9/29/2022,14005.56
79,2255,63,1/27/2024,4346.31
80,14359,140,9/12/2023,9214
81,17333,3,9/6/2023,13983.16
82,3395,35,6/26/2023,1819.89
83,3508,191,11/15/2022,4157.99
84,19820,54,12/4/2023,3133.6
85,8651,130,9/27/2024,3841.71
86,1665,24,5/17/2024,12457.29
87,1445,1,11/15/2023,11589.68
88,8584,42,6/23/2024,8320.04
89,14015,144,1/20/2022,1766.92
90,4885,140,3/15/2022,12535.47
91,19088,142,10/31/2022,6503.82
92,1371,79,1/17/2024,13494.82
93,1308,92,3/7/2023,10262.79
94,3369,91,4/12/2024,14610.17
95,5065,61,11/29/2022,14645.47
96,5802,106,2/20/2022,2772.47
97,10886,106,5/24/2023,4075.41
98,3543,98,3/21/2022,12893.04
99,7289,52,7/31/2024,5309.91
100,7458,58,2/18/2022,9934.49
101,13057,85,7/25/2023,12978.86
102,9147,90,11/9/2024,6055.21
103,17571,85,2/26/2022,1818.59
104,8560,46,6/28/2023,670.03
105,19549,112,12/9/2023,10955.32
106,10279,112,11/13/2024,1823.12
107,18894,49,6/6/2023,761.36
108,14289,1,11/30/2024,13891.07
109,17644,176,2/8/2023,5526.9
110,2293,171,11/8/2023,9385.02
111,4084,185,9/8/2023,7656.13
112,13383,84,4/4/2024,10488.41
113,18167,33,1/28/2023,6364.65
114,12424,174,12/23/2022,9271.17
115,9862,104,1/1/2022,4627.74
116,6888,111,10/22/2023,7028.32
117,14489,173,3/14/2023,7716.49
118,5561,169,6/23/2022,4328.42
119,10984,24,4/27/2023,10124.66
120,7362,51,10/29/2022,463.94
121,8024,122,5/30/2022,6885.7
122,18864,50,2/26/2024,7466.22
123,7995,38,1/12/2022,13400.63
124,3493,200,5/20/2024,3360.73
125,16973,119,4/13/2022,8405.35
126,3977,117,10/1/2022,12041.11
127,17405,144,10/12/2023,14255.59
128,14503,157,10/30/2024,6458.44
129,17953,115,11/22/2022,11180.47
130,15555,116,6/15/2023,11301.47
131,9087,197,12/3/2024,7320.5
132,7840,71,6/19/2024,1254.5
133,9363,61,7/11/2023,5104.13
134,17700,21,10/11/2022,2347.38
135,12552,178,11/9/2022,10625.65
136,2105,107,4/14/2024,5030.13
137,15268,107,5/8/2022,3181.83
138,13768,100,2/10/2022,12865.31
139,18865,98,9/3/2024,187.85
140,11527,77,3/9/2024,12816.37
141,13731,138,3/28/2023,7374.62
142,8944,112,9/21/2024,532.47
143,11015,172,4/8/2024,10890.3
144,15316,33,12/29/2024,501.8
145,12912,152,2/25/2022,1350.82
146,14045,35,8/3/2024,2807.76
147,8525,98,11/2/2023,3253.74
148,10711,87,2/16/2024,4246.02
149,13814,65,6/17/2022,7107.57
150,17676,14,12/18/2023,3440.91
151,2249,200,3/24/2022,11338.07
152,8103,52,2/11/2022,9357.9
153,7817,33,8/27/2024,10074.94
154,18481,56,8/10/2024,10522.03
155,12088,43,8/23/2022,11689.1
156,5367,80,8/10/2022,8722.4
157,10223,148,2/8/2024,6010.15
158,6499,20,5/13/2023,1618.33
159,9883,176,9/5/2022,11963.79
160,18545,11,12/13/2023,8037.9
161,12143,18,11/2/2024,9748.39
162,415,108,9/30/2024,1672.53
163,11869,163,7/30/2024,10638.9
164,14271,46,12/4/2024,14485.56
165,8851,158,9/17/2024,7026.62
166,19415,69,10/23/2023,12790.53
167,2840,72,7/12/2024,3733.57
168,15228,146,2/16/2024,5112.31
169,16198,84,1/8/2023,7364.49
170,11627,67,11/29/2023,4266.91
171,19535,180,7/20/2023,8381.29
172,16929,49,6/25/2022,3696.21
173,13318,126,5/8/2023,10390.08
174,16084,115,2/5/2022,1486.49
175,7262,104,5/14/2023,4662.47
176,19057,95,8/27/2024,8346.75
177,11265,109,11/9/2023,5341.98
178,14869,70,9/20/2023,3845.91
179,3954,185,1/30/2023,4801.66
180,17560,196,1/15/2023,2953.96
181,15867,71,12/10/2024,8992.18
182,3295,50,8/30/2023,3489.5
183,5880,78,1/29/2022,10649.48
184,4148,71,4/4/2022,14616.99
185,18133,75,9/16/2022,9604.26
186,16086,27,1/26/2022,8653.56
187,15382,123,6/21/2024,5176.52
188,1684,65,9/5/2024,1799.9
189,2142,103,10/4/2024,1203.82
190,1757,39,11/2/2022,12186.02
191,9957,22,5/24/2023,1864.93
192,13638,156,4/8/2023,11657.83
193,12465,116,6/25/2024,4530.56
194,19285,110,9/18/2023,8572.58
195,1974,157,7/23/2022,14219.09
196,6809,161,3/9/2023,4043.23
197,2661,41,5/7/2023,2689.82
198,2460,41,1/6/2022,6186.91
199,19459,121,8/20/2023,586.33
200,9441,181,8/3/2023,10574.51
201,14878,19,4/24/2023,13866.27
202,19327,170,2/10/2023,6434.57
203,17845,58,11/2/2022,13635.33
204,4661,19,5/3/2022,2572.25
205,10080,153,8/15/2023,6643.39
206,15359,177,9/15/2023,10526.03
207,8921,129,10/8/2024,6622.61
208,19597,11,6/3/2024,11044.56
209,19783,65,2/22/2022,1460.77
210,18849,151,2/12/2022,14993.63
211,8832,148,3/24/2022,11470.32
212,5741,121,11/28/2024,9807.49
213,9115,47,6/11/2024,9558.29
214,16113,24,8/20/2024,5284.62
215,10922,83,8/3/2022,12880.22
216,10808,106,10/11/2024,4394.45
217,13123,195,3/17/2022,6876.91
218,10307,65,10/25/2023,1827.23
219,13245,132,1/3/2022,9899.14
220,17780,119,4/26/2024,907.64
221,16989,93,10/17/2024,9418.59
222,1692,53,7/1/2023,8283.37
223,9439,113,9/19/2024,1909.25
224,19952,62,11/21/2022,4730.18
225,449,142,4/15/2024,1488.82
226,3718,119,8/29/2022,9750.87
227,5046,128,8/21/2023,7682.19
228,8960,107,9/15/2024,14705.65
229,7987,117,10/24/2022,5815.43
230,19641,131,10/7/2022,12974
231,9053,198,4/29/2024,5164.14
232,16638,69,1/6/2022,4314.3
233,9784,151,9/29/2024,12992.38
234,14633,138,9/18/2024,5242.35
235,18086,196,2/12/2024,6884.63
236,10545,49,5/5/2023,8619.78
237,7654,199,4/21/2024,750.34
238,15499,181,2/20/2024,5852.57
239,4985,127,3/17/2022,1981.07
240,19340,85,7/25/2022,13125.44
241,14428,26,12/13/2024,13665.58
242,503,185,10/23/2022,6208.68
243,5059,20,8/19/2024,11744.73
244,8685,87,3/25/2024,9782.57
245,10767,173,12/28/2024,5762.14
246,10377,161,9/26/2024,13098.51
247,1177,159,5/21/2022,3598.08
248,9417,59,7/5/2022,6566.17
249,3226,195,7/25/2022,6710.81
250,9813,8,4/5/2022,4933.18
251,1839,76,1/5/2024,5685.13
252,4771,63,12/23/2024,6239.57
253,5901,44,12/25/2022,1276.63
254,12536,159,5/9/2023,7515.24
255,19109,37,4/21/2023,6971.13
256,8323,118,6/7/2023,10035.93
257,15246,74,11/20/2022,1200.54
258,11324,151,9/5/2023,9620.19
259,13904,177,5/28/2023,6906.85
260,9900,51,2/27/2024,12814.7
261,3495,61,2/21/2024,8621.65
262,18836,76,8/28/2023,426.9
263,12970,71,1/17/2022,8532.34
264,1608,156,10/14/2024,12509.3
265,9379,199,4/17/2023,9145.27
266,11545,57,1/25/2023,9351.28
267,4482,161,7/18/2022,13560.72
268,1292,80,6/21/2024,597.13
269,11956,188,9/27/2022,1442.99
270,9671,84,4/30/2024,2717.04
271,4331,139,1/20/2024,8009.7
272,8931,43,6/11/2023,13719.33
273,15790,76,11/25/2023,12083.06
274,15347,20,10/16/2022,11336.86
275,7393,174,3/24/2024,14512.32
276,18263,94,7/4/2022,11881.16
277,457,68,9/11/2022,6876.31
278,8591,150,2/20/2024,12354.02
279,12173,28,4/24/2023,7125.01
280,18397,84,3/30/2023,9750.02
281,15214,180,9/11/2023,9773.67
282,3824,36,4/3/2022,14199.3
283,9974,127,8/26/2022,1548.16
284,17615,35,3/6/2024,6859.29
285,17702,108,11/13/2022,13292.67
286,3245,126,4/15/2024,14091.89
287,9167,9,1/29/2024,3337.32
288,14572,61,1/13/2024,1580.38
289,12037,140,1/5/2024,1002.2
290,9041,49,9/8/2022,14240.26
291,14901,24,3/11/2023,9661.4
292,19568,6,4/14/2022,11823.24
293,7982,33,2/25/2023,1122.29
294,18161,54,3/19/2023,12214.49
295,7635,85,10/30/2022,11850.79
296,19530,1,7/22/2023,12890.25
297,4742,34,5/29/2023,11997.86
298,3603,170,2/22/2022,2063.87
299,11739,61,10/26/2023,335.14
300,8696,14,9/17/2022,11151.6
301,17239,30,5/11/2022,7196.06
302,11864,132,8/12/2022,6834.88
303,7260,158,3/30/2022,10935.92
304,17087,78,7/27/2024,9685.78
305,1021,16,9/7/2024,12724.75
306,13969,176,8/10/2022,7405.01
307,14535,19,6/15/2022,4899.47
308,4861,17,9/16/2022,4197.74
309,19182,141,10/28/2023,5775.48
310,19576,136,8/27/2023,6860.36
311,19839,111,7/23/2022,11917.13
312,3750,168,3/17/2023,6508.04
313,7488,106,11/26/2023,12428.55
314,13066,107,7/14/2022,4756.97
315,10241,171,6/7/2023,5677.09
316,5002,176,8/29/2024,1100.29
317,2798,24,6/3/2024,1538.81
318,12211,34,5/3/2022,8838.33
319,18403,144,11/7/2023,10083.2
320,13462,91,5/16/2024,13034.57
321,1686,74,10/2/2023,5339.53
322,18938,130,3/12/2023,2405.48
323,15801,58,8/10/2022,5316.7
324,18228,95,8/24/2022,11462.82
325,18813,58,5/28/2024,12692.81
326,18244,7,7/2/2023,531.4
327,8955,180,9/25/2023,13830.91
328,11503,2,1/7/2023,13060.95
329,18558,169,3/31/2024,1136.82
330,1005,24,12/22/2024,3305.48
331,13758,117,11/30/2023,2445.4
332,10212,185,10/27/2023,11674.85
333,18599,153,6/23/2022,13261.8
334,5099,41,4/12/2022,10142.13
335,8917,114,5/18/2024,7336.36
336,14485,107,7/14/2023,3311.98
337,16789,30,12/8/2023,6505.71
338,9282,174,9/23/2024,7951.32
339,10107,12,3/28/2023,5989.42
340,19639,15,1/16/2022,3145.9
341,6922,197,10/9/2022,11486
342,9485,84,9/3/2022,215.18
343,14112,45,9/22/2022,5765.09
344,7541,129,12/27/2023,1173.92
345,1387,112,2/8/2022,6950.34
346,2552,81,5/29/2024,8643.66
347,13687,75,8/24/2022,6134.98
348,10643,44,7/31/2024,12497.19
349,11858,23,6/13/2024,12682.82
350,7973,112,3/31/2024,7907.04
351,12969,80,11/27/2023,3401.42
352,5510,20,11/11/2024,9535.05
353,17387,131,2/2/2023,13598.25
354,11449,90,10/30/2022,3620.41
355,4799,66,2/9/2023,2685.14
356,5010,195,6/4/2022,2739.48
357,16192,119,7/8/2024,10248.89
358,18498,165,10/24/2023,12977.28
359,10360,39,6/19/2024,1117.47
360,14491,162,9/13/2023,11965.31
361,19380,15,12/22/2023,7659.32
362,10172,119,7/14/2024,660.35
363,12083,74,6/7/2022,9705.53
364,2959,158,11/4/2024,5828.79
365,19017,142,3/26/2022,6801.03
366,18733,167,1/21/2023,4890.75
367,15586,129,11/5/2022,14370.06
368,14763,27,12/5/2023,14737.55
369,2764,130,12/20/2022,683.22
370,14345,113,12/9/2024,7888.95
371,5202,94,2/3/2024,13777.26
372,12695,105,11/24/2023,10215.58
373,1716,162,11/17/2023,1082.09
374,3097,143,3/2/2024,4333.79
375,19750,39,11/14/2023,1314.38
376,4635,90,9/28/2023,14518.68
377,12844,34,6/23/2022,4712.77
378,12344,165,11/4/2023,12216.45
379,17249,24,5/17/2024,7676.48
380,598,93,9/25/2023,2785.92
381,7019,88,9/22/2024,2960.88
382,4508,40,6/8/2022,4507.3
383,3315,130,12/14/2024,662.44
384,11036,197,9/26/2022,8998.97
385,5055,42,1/6/2023,12487.04
386,5425,185,6/15/2024,751.02
387,11938,174,5/2/2023,14546.87
388,9337,193,7/8/2024,3586.64
389,7838,80,8/18/2024,13569.22
390,6358,95,6/21/2024,6979.03
391,9234,200,2/22/2024,7593.31
392,13719,42,2/13/2023,12038.76
393,4536,65,4/17/2022,9653.57
394,12164,142,7/30/2022,10699.87
395,16906,32,8/7/2023,1349.74
396,5254,70,7/9/2024,13589.06
397,4829,112,7/7/2022,14201.56
398,7276,116,12/17/2023,13964.03
399,13596,14,3/22/2024,7579.91
400,7726,99,6/17/2022,5686.2
401,924,82,7/22/2022,12603.73
402,10987,38,10/9/2022,670.72
403,15482,179,10/12/2022,11406.73
404,15372,115,1/11/2022,13597.28
405,623,66,3/18/2023,12540.95
406,17984,187,12/16/2024,6406.5
407,9441,61,9/9/2023,1915.54
408,7814,108,7/25/2024,1035.83
409,16379,153,2/3/2022,9516.13
410,18844,62,10/22/2022,4439.95
411,52,158,12/24/2023,3684.41
412,13651,48,6/25/2022,7899.92
413,11817,18,12/13/2024,8206.82
414,16634,142,2/11/2022,5917.76
415,15406,12,3/3/2024,14717.49
416,8312,192,2/3/2022,5420.7
417,2214,89,5/9/2023,11020.82
418,3397,198,11/12/2023,2087.8
419,11545,140,11/25/2023,12221.28
420,5738,200,8/9/2024,14714.21
421,15681,162,1/9/2023,12191.32
422,2068,184,7/26/2024,651.06
423,6606,12,2/13/2023,13298.28
424,10342,80,11/21/2024,6033.54
425,17795,122,6/3/2023,645.65
426,6263,74,1/2/2024,12945.86
427,1567,168,11/11/2023,4170.93
428,12060,112,3/30/2024,11175.28
429,12670,87,1/18/2023,7493.43
430,16303,95,11/29/2024,4074.14
431,2708,187,5/19/2024,1276.01
432,19742,47,8/25/2023,4886.05
433,2624,84,8/29/2023,4666.79
434,19747,184,5/22/2024,2583.01
435,14546,90,7/4/2024,731.09
436,11553,158,6/9/2024,4190.87
437,1880,20,4/11/2024,5513.34
438,5243,8,10/20/2022,12745.17
439,14359,9,9/16/2022,1101.78
440,12004,93,2/24/2024,14247.06
441,1062,155,11/11/2022,10218.02
442,12156,96,6/28/2024,11469.96
443,18807,36,12/20/2024,5567.55
444,10302,167,7/25/2023,3819.21
445,3718,7,1/17/2023,7535.76
446,12681,144,8/30/2022,4000.47
447,8530,181,7/2/2024,3297.1
448,9358,178,10/2/2024,3082.66
449,4448,19,7/14/2024,2672.58
450,14586,23,10/17/2023,10050.81
451,2128,141,8/18/2023,13380.84
452,5162,183,12/23/2022,11926.08
453,16671,58,9/6/2022,14778.47
454,4551,61,10/8/2024,491.63
455,18155,147,1/26/2024,7064.35
456,18077,34,6/26/2022,1079.65
457,13047,184,9/7/2024,7932.87
458,13417,148,6/1/2022,1967.37
459,10389,165,6/1/2022,6804.62
460,16953,89,9/20/2022,13181.61
461,18066,164,1/8/2023,11539.95
462,4229,111,10/26/2024,13669.61
463,1816,32,11/27/2024,2379.93
464,5396,42,10/23/2023,14027.59
465,7389,89,11/28/2024,13434.4
466,2585,65,2/7/2023,9562.35
467,18050,71,9/14/2022,9412.83
468,17482,24,10/26/2024,9650.71
469,19393,149,11/12/2022,2650.89
470,19830,87,3/26/2022,12396.02
471,930,21,4/4/2022,14233.35
472,18900,68,3/8/2023,11527.69
473,13651,159,3/4/2022,7520.77
474,17878,75,9/11/2023,7295.88
475,13307,77,7/17/2024,1187.3
476,1964,41,6/19/2024,6292.76
477,15219,53,11/28/2023,9139.24
478,10243,184,10/16/2023,11039.58
479,11318,103,9/25/2022,11433.91
480,16875,144,8/6/2022,4854.83
481,15286,32,7/2/2023,6798.98
482,4617,25,4/14/2022,4424.16
483,12588,158,5/6/2024,3799.23
484,5234,84,10/3/2023,2928.53
485,5222,128,11/20/2024,7055.55
486,10111,128,2/17/2022,1441.73
487,12886,130,7/25/2024,14503.63
488,7050,150,12/24/2023,825.01
489,9220,127,8/21/2024,4357.65
490,268,28,6/1/2024,2095.63
491,8667,187,1/20/2024,11481.47
492,11992,12,3/31/2024,862.25
493,18410,50,1/13/2024,8343.02
494,2410,99,10/29/2024,6810.28
495,18018,72,9/1/2022,2017.08
496,3169,101,2/4/2024,11943.97
497,11112,143,1/19/2024,11348.98
498,6523,155,11/8/2024,6080.67
499,1320,12,3/21/2022,2141.84
500,10914,122,11/29/2024,6909.13
501,19866,132,10/14/2022,4986.69
502,10438,42,3/15/2024,14860.17
503,9806,152,11/20/2023,7658.99
504,16703,137,9/30/2024,10660.22
505,9824,122,2/4/2022,5588.53
506,3592,107,9/23/2023,11971.65
507,874,153,8/29/2024,4056.4
508,18956,148,4/12/2023,10848.86
509,19121,123,12/16/2022,7911.06
510,12459,38,5/12/2023,570.4
511,3602,49,2/8/2022,6671.47
512,13723,39,4/25/2024,10388.45
513,13448,129,8/23/2024,13104.98
514,2041,181,10/10/2022,7828.38
515,18380,84,9/6/2024,7929.61
516,10282,45,7/30/2024,13690.65
517,11218,140,12/27/2023,10170.44
518,8663,157,9/18/2024,2964.74
519,8078,72,9/4/2023,3450.52
520,9753,198,8/15/2023,10603.02
521,16024,82,9/9/2024,5297.17
522,8961,74,9/7/2022,8644.8
523,17800,98,3/19/2024,12293.82
524,4800,75,3/28/2022,4385.69
525,2590,89,6/24/2024,9873.98
526,15699,55,2/18/2023,12436.48
527,8885,144,7/11/2023,2145.37
528,19230,62,5/12/2023,856.4
529,17402,58,4/22/2023,882.12
530,13544,85,8/25/2024,1598.12
531,4505,2,11/20/2022,6162.92
532,15588,123,2/13/2023,11363.07
533,9413,83,8/8/2023,9723.88
534,2932,167,4/21/2023,8073.77
535,1223,45,5/5/2024,13245.45
536,5761,10,3/24/2024,11840.61
537,6106,192,8/16/2023,13163.47
538,304,77,8/8/2022,13933.98
539,10979,73,7/19/2024,14837.58
540,17803,135,10/8/2024,13349.97
541,4398,130,8/16/2024,4165.27
542,3692,85,11/29/2022,10993.68
543,8431,184,1/17/2023,309.85
544,11047,76,1/31/2023,2714.87
545,13288,110,11/21/2024,4986.11
546,13135,172,7/15/2022,2853.24
547,4608,123,10/25/2023,14043.8
548,224,67,2/25/2024,3609.27
549,8749,85,9/11/2023,8778.67
550,18773,3,6/20/2023,9839.88
551,7744,16,8/31/2022,7034.39
552,5234,104,10/26/2024,13854.28
553,10191,177,8/29/2022,9616.8
554,9668,95,3/29/2023,3365.02
555,4377,123,11/10/2022,6879.18
556,19849,96,5/1/2024,10558.92
557,15429,194,3/24/2023,11451.71
558,19524,21,12/12/2024,6756.54
559,11855,20,8/18/2022,1020.19
560,17946,130,2/19/2023,8633.25
561,4911,43,11/3/2023,12831.84
562,14479,30,2/25/2023,10782.08
563,16018,24,11/11/2024,6737.69
564,1824,117,9/28/2022,7747.39
565,14969,145,4/29/2022,8426.08
566,10099,186,2/14/2022,5999.64
567,99,191,3/23/2023,8716.84
568,1485,109,12/7/2023,10535.73
569,17733,16,5/22/2022,14793.44
570,15469,9,8/11/2023,6192.12
571,4438,197,5/10/2024,5679.47
572,12534,115,2/13/2024,5697.12
573,17672,35,12/14/2023,1867.63
574,17605,101,12/19/2024,1997.47
575,7298,1,2/16/2022,14679.51
576,15172,173,5/18/2024,8025.81
577,7526,64,8/1/2024,5257.78
578,9033,49,8/20/2022,580.04
579,13738,158,2/2/2022,3685.93
580,2205,26,3/10/2022,6751.97
581,1596,63,4/1/2022,6093.75
582,7679,139,3/21/2023,11340.35
583,1850,36,10/28/2024,14902.9
584,7674,188,10/16/2023,8704.37
585,10508,61,9/11/2023,13156.25
586,17081,57,4/26/2024,4577.46
587,1998,143,12/25/2022,9427.3
588,13999,143,10/12/2024,798.57
589,11286,165,2/20/2024,11808.49
590,10445,179,5/2/2024,6183.06
591,9827,97,1/12/2023,11340.8
592,15517,62,4/7/2023,4580.97
593,4731,119,4/29/2022,8479.55
594,13649,143,12/21/2024,2097.98
595,7958,66,2/21/2023,5020.92
596,2591,116,1/30/2024,1477.71
597,6242,14,7/4/2023,5719.8
598,19824,155,3/22/2022,13116.94
599,6166,195,3/21/2023,7242.97
600,10911,78,2/1/2022,3255.94
601,6227,190,8/29/2022,11228.5
602,15694,63,2/23/2023,6009.82
603,7843,142,10/21/2023,11655.16
604,12474,120,12/28/2024,9765.95
605,10107,67,1/7/2024,7740.97
606,16295,120,7/21/2022,12061.97
607,15385,195,10/18/2023,13723.52
608,12148,81,4/27/2024,781.16
609,7251,190,10/26/2022,341.68
610,18131,150,5/5/2024,4498.37
611,6429,85,4/17/2023,5759.61
612,8053,128,11/23/2023,3934.17
613,16012,186,10/1/2024,6966.35
614,11541,44,10/14/2022,10832.67
615,16002,48,5/1/2022,7906.77
616,2436,172,4/10/2022,11488.65
617,13514,36,4/19/2023,1112.72
618,4949,3,3/24/2023,7635.42
619,12230,16,9/16/2024,9923.34
620,516,2,12/25/2024,8319.49
621,389,5,12/20/2024,10860.67
622,17556,74,2/5/2022,7583.02
623,14110,46,8/8/2022,13778.93
624,17184,39,5/9/2023,2959.79
625,17251,65,12/27/2023,4083.14
626,13006,21,2/4/2024,14393.54
627,15041,145,5/14/2023,14854.47
628,7401,77,6/15/2022,9840.66
629,1039,24,4/10/2024,5751.03
630,18111,122,4/25/2022,9587.55
631,5616,22,10/20/2024,12695.41
632,10856,145,7/15/2022,13432.39
633,1395,59,3/9/2023,13528.97
634,18573,122,7/10/2023,793.77
635,2437,176,7/29/2023,13499.74
636,18466,169,3/9/2022,2772.38
637,10306,5,3/1/2023,8846.84
638,13052,20,9/5/2023,2520.51
639,7880,146,3/7/2024,10187.82
640,17714,85,2/26/2024,11358.58
641,4586,177,6/10/2022,7561.81
642,11334,14,7/20/2022,6612.61
643,2491,88,3/23/2024,14536.92
644,10695,8,7/14/2023,11774.87
645,14764,126,4/13/2023,5401.59
646,12302,111,1/16/2023,10227.45
647,12455,22,8/28/2023,11991.02
648,2409,22,7/3/2023,2397.89
649,5056,190,3/8/2024,4818.51
650,3492,24,1/11/2022,14150.11
651,14574,93,7/7/2023,1623.25
652,2861,48,6/1/2024,6787.77
653,18178,132,4/15/2024,1639.06
654,2937,91,7/10/2022,8994.18
655,10631,99,1/26/2022,4448.53
656,12708,200,6/23/2022,10900.17
657,18335,63,12/3/2024,2626.79
658,12476,44,10/12/2022,4106.89
659,8796,127,10/26/2022,1042.68
660,14244,71,5/12/2024,4566.31
661,2521,93,5/31/2023,14168.91
662,16247,153,2/5/2023,6922.14
663,4440,78,1/14/2022,14237.47
664,10887,159,2/18/2024,12080.74
665,10799,113,11/17/2023,6516.18
666,19478,35,9/8/2023,4877.91
667,6582,123,10/6/2023,2746.8
668,13050,82,8/20/2023,11049.63
669,16090,148,5/12/2023,4955.7
670,9185,101,1/18/2024,1796.93
671,18477,52,1/4/2023,10257.52
672,18026,7,8/3/2024,14150.33
673,6870,113,8/20/2023,12486.1
674,2267,105,10/19/2024,2173.77
675,9924,62,6/2/2023,9914.08
676,13866,97,6/1/2022,6791.09
677,19594,123,3/31/2024,8062.07
678,13707,140,3/17/2022,11881.74
679,11782,180,6/24/2022,1729.6
680,8135,169,12/29/2023,2578.44
681,1452,145,3/29/2024,14505.49
682,10866,111,8/5/2022,257.16
683,8479,57,11/11/2024,11228.11
684,18285,149,3/29/2023,6742.1
685,12817,119,10/21/2024,2346.1
686,805,124,8/3/2022,4501.94
687,2814,30,10/18/2022,5290.1
688,11242,117,2/28/2023,7864.61
689,11414,122,7/19/2022,6628.67
690,14826,82,5/18/2022,4573.93
691,3772,6,12/4/2023,9754.75
692,5386,190,5/15/2023,7788.31
693,18085,41,11/9/2023,8441.75
694,15141,60,4/9/2024,9483.43
695,6108,164,6/4/2024,5994.18
696,6466,116,5/29/2024,5893.65
697,7039,53,7/25/2023,11309.65
698,2051,148,7/28/2022,12012.59
699,17593,48,1/20/2024,4957.18
700,14994,30,6/22/2023,10093.45
701,16040,136,10/4/2023,8994.87
702,12863,151,8/22/2022,5284.08
703,15004,159,12/20/2022,12224.7
704,9747,158,6/23/2022,10114.44
705,10263,31,5/4/2023,4650.16
706,5999,96,10/17/2022,7711.29
707,13705,153,10/10/2022,8664.61
708,13863,48,9/23/2024,9568.97
709,5677,143,12/8/2022,7395.67
710,4598,48,10/7/2023,12645.58
711,1757,92,1/20/2022,7320.67
712,6394,99,11/1/2024,9830.74
713,13407,176,10/4/2024,6292.89
714,14545,126,12/9/2022,1331.79
715,1012,195,3/28/2023,4452.14
716,9007,58,8/15/2023,2606.31
717,14986,145,10/11/2024,8290.92
718,3710,147,8/22/2022,4091.54
719,17797,94,3/27/2022,11424.06
720,14463,140,3/24/2023,14847.66
721,3356,189,5/22/2023,4535.86
722,1057,116,6/23/2023,5293.8
723,2851,113,8/29/2022,11656.91
724,7765,54,12/20/2023,12929.63
725,19998,162,5/26/2024,2573.13
726,4563,53,2/28/2023,12101.06
727,18681,90,12/26/2024,4288.17
728,17655,44,10/25/2023,14687.1
729,9590,75,7/2/2023,14290.72
730,16857,174,7/15/2022,2120.27
731,13488,16,7/22/2023,13019.01
732,4158,180,9/29/2022,3820.19
733,10555,64,3/15/2024,7392.94
734,18922,162,7/5/2023,9454.41
735,12294,116,6/4/2022,9541.05
736,3051,104,11/21/2024,11272.06
737,12094,117,9/26/2024,4976.61
