ProductID,ProductName,Category,Price,Supplier
38,Beauty Product 38,Beauty,1509.93,Unilever Egypt
39,Furniture Product 39,Furniture,48597.3,Samsung Egypt
40,Home Appliances Product 40,Home Appliances,20705.94,IKEA Egypt
41,Furniture Product 41,Furniture,38777.04,Nestle Egypt
42,Home Appliances Product 42,Home Appliances,9370.2,Sony Middle East
43,Stationery Product 43,Stationery,6.61,Carrefour Supplier
44,Furniture Product 44,Furniture,48636.57,Metro Market Supplier
45,Groceries Product 45,Groceries,104,LG Egypt
46,Furniture Product 46,Furniture,42320.96,IKEA Egypt
47,Clothing Product 47,Clothing,543.23,Metro Market Supplier
48,Groceries Product 48,Groceries,110.18,Metro Market Supplier
49,Electronics Product 49,Electronics,15174.14,Unilever Egypt
50,Electronics Product 50,Electronics,3240.76,Nestle Egypt
51,Furniture Product 51,Furniture,13113.44,Fresh Electric
52,Home Appliances Product 52,Home Appliances,3301.08,Unilever Egypt
53,Home Appliances Product 53,Home Appliances,29357.15,IKEA Egypt
54,Groceries Product 54,Groceries,30.04,Unilever Egypt
55,Groceries Product 55,Groceries,56.69,Adidas Egypt
56,Beauty Product 56,Beauty,2412.69,IKEA Egypt
57,Clothing Product 57,Clothing,2167.55,P&G Egypt
58,Sports Product 58,Sports,3617.18,IKEA Egypt
59,Stationery Product 59,Stationery,64.9,Fresh Electric
60,Home Appliances Product 60,Home Appliances,10672.1,Adidas Egypt
61,Clothing Product 61,Clothing,1806.48,Samsung Egypt
62,Home Appliances Product 62,Home Appliances,21468.96,Samsung Egypt
63,Clothing Product 63,Clothing,295.46,Samsung Egypt
64,Sports Product 64,Sports,752.69,Fresh Electric
65,Furniture Product 65,Furniture,33945.42,Fresh Electric
66,Groceries Product 66,Groceries,146.05,Adidas Egypt
67,Stationery Product 67,Stationery,125.28,Unilever Egypt
68,Beauty Product 68,Beauty,516.5,LG Egypt
69,Beauty Product 69,Beauty,918.03,P&G Egypt
70,Stationery Product 70,Stationery,432.6,Samsung Egypt
71,Home Appliances Product 71,Home Appliances,2569.89,Carrefour Supplier
72,Sports Product 72,Sports,6444.62,LG Egypt
73,Clothing Product 73,Clothing,655.61,IKEA Egypt
74,Stationery Product 74,Stationery,74.39,Sony Middle East
75,Furniture Product 75,Furniture,23937.46,LG Egypt
76,Stationery Product 76,Stationery,404.97,IKEA Egypt
77,Home Appliances Product 77,Home Appliances,2277.18,IKEA Egypt
78,Electronics Product 78,Electronics,24240.41,Metro Market Supplier
79,Clothing Product 79,Clothing,582.3,Unilever Egypt
80,Stationery Product 80,Stationery,110.8,P&G Egypt
81,Electronics Product 81,Electronics,4533.61,Samsung Egypt
82,Beauty Product 82,Beauty,699.75,Metro Market Supplier
83,Stationery Product 83,Stationery,146.2,Carrefour Supplier
84,Stationery Product 84,Stationery,81.62,ElAraby Group
85,Clothing Product 85,Clothing,2909.26,Adidas Egypt
86,Electronics Product 86,Electronics,18825.4,Samsung Egypt
87,Electronics Product 87,Electronics,14812.35,IKEA Egypt
88,Groceries Product 88,Groceries,16.09,IKEA Egypt
89,Home Appliances Product 89,Home Appliances,25659.2,LG Egypt
90,Home Appliances Product 90,Home Appliances,20516.21,Fresh Electric
91,Beauty Product 91,Beauty,343.72,Adidas Egypt
92,Clothing Product 92,Clothing,1778.87,Samsung Egypt
93,Home Appliances Product 93,Home Appliances,13041.37,Adidas Egypt
94,Sports Product 94,Sports,7490.71,Fresh Electric
95,Sports Product 95,Sports,2061.75,P&G Egypt
96,Groceries Product 96,Groceries,135.98,ElAraby Group
97,Stationery Product 97,Stationery,161.51,Metro Market Supplier
98,Home Appliances Product 98,Home Appliances,1072.01,Adidas Egypt
99,Home Appliances Product 99,Home Appliances,2939.21,Fresh Electric
100,Furniture Product 100,Furniture,7924.14,Nestle Egypt
101,Home Appliances Product 101,Home Appliances,26474.69,Nestle Egypt
102,Furniture Product 102,Furniture,9150.72,IKEA Egypt
103,Furniture Product 103,Furniture,31166.37,Metro Market Supplier
104,Electronics Product 104,Electronics,16862.65,IKEA Egypt
105,Furniture Product 105,Furniture,46690.17,LG Egypt
106,Groceries Product 106,Groceries,56.57,LG Egypt
107,Groceries Product 107,Groceries,58.11,Adidas Egypt
108,Clothing Product 108,Clothing,2181.08,Fresh Electric
109,Furniture Product 109,Furniture,26012.34,ElAraby Group
110,Electronics Product 110,Electronics,2761.31,P&G Egypt
111,Furniture Product 111,Furniture,3638.21,Nestle Egypt
112,Groceries Product 112,Groceries,129.24,ElAraby Group
113,Groceries Product 113,Groceries,149.54,IKEA Egypt
114,Beauty Product 114,Beauty,1424.22,LG Egypt
115,Home Appliances Product 115,Home Appliances,28395.49,Carrefour Supplier
116,Groceries Product 116,Groceries,111.39,Nestle Egypt
117,Groceries Product 117,Groceries,88.81,Samsung Egypt
118,Furniture Product 118,Furniture,19185.6,Metro Market Supplier
119,Electronics Product 119,Electronics,22523.65,Fresh Electric
120,Clothing Product 120,Clothing,2034.11,Nestle Egypt
121,Beauty Product 121,Beauty,2435.9,Carrefour Supplier
122,Groceries Product 122,Groceries,185.52,Fresh Electric
123,Groceries Product 123,Groceries,195.36,Metro Market Supplier
124,Groceries Product 124,Groceries,176.88,Samsung Egypt
125,Groceries Product 125,Groceries,148.63,Nestle Egypt
126,Beauty Product 126,Beauty,2015.48,Carrefour Supplier
127,Clothing Product 127,Clothing,873.74,Metro Market Supplier
128,Home Appliances Product 128,Home Appliances,11970.22,Samsung Egypt
129,Stationery Product 129,Stationery,115.1,Unilever Egypt
130,Sports Product 130,Sports,2580.49,Metro Market Supplier
131,Clothing Product 131,Clothing,746.48,Nike Egypt
132,Clothing Product 132,Clothing,1255.55,ElAraby Group
133,Home Appliances Product 133,Home Appliances,29033.16,ElAraby Group
134,Sports Product 134,Sports,5203.56,P&G Egypt
135,Sports Product 135,Sports,7526.05,LG Egypt
136,Furniture Product 136,Furniture,10160.54,ElAraby Group
137,Electronics Product 137,Electronics,3155.86,P&G Egypt
138,Sports Product 138,Sports,5882.65,Nestle Egypt
139,Beauty Product 139,Beauty,1535.21,IKEA Egypt
140,Home Appliances Product 140,Home Appliances,12047.71,Adidas Egypt
141,Clothing Product 141,Clothing,838.7,Carrefour Supplier
142,Beauty Product 142,Beauty,54.14,Metro Market Supplier
143,Clothing Product 143,Clothing,1156.24,LG Egypt
144,Sports Product 144,Sports,5060.61,Nike Egypt
145,Home Appliances Product 145,Home Appliances,21816.82,ElAraby Group
146,Furniture Product 146,Furniture,33844.31,Nestle Egypt
147,Beauty Product 147,Beauty,1758.16,IKEA Egypt
148,Groceries Product 148,Groceries,42.41,Nike Egypt
149,Beauty Product 149,Beauty,1709.43,Sony Middle East
150,Furniture Product 150,Furniture,21194.65,Samsung Egypt
151,Furniture Product 151,Furniture,15415.32,P&G Egypt
152,Sports Product 152,Sports,3826.91,Unilever Egypt
153,Clothing Product 153,Clothing,1582.4,Metro Market Supplier
154,Groceries Product 154,Groceries,133.48,ElAraby Group
155,Sports Product 155,Sports,928.42,Metro Market Supplier
156,Clothing Product 156,Clothing,2051.11,Fresh Electric
157,Clothing Product 157,Clothing,527.33,Samsung Egypt
158,Clothing Product 158,Clothing,2953.41,Adidas Egypt
159,Home Appliances Product 159,Home Appliances,14098.15,Nike Egypt
160,Clothing Product 160,Clothing,2183.2,P&G Egypt
161,Stationery Product 161,Stationery,202.83,Sony Middle East
162,Electronics Product 162,Electronics,22370.17,Metro Market Supplier
163,Home Appliances Product 163,Home Appliances,23529.88,Fresh Electric
164,Groceries Product 164,Groceries,161.8,Carrefour Supplier
165,Stationery Product 165,Stationery,29.86,Fresh Electric
166,Home Appliances Product 166,Home Appliances,14128.69,Metro Market Supplier
167,Stationery Product 167,Stationery,335.45,IKEA Egypt
168,Sports Product 168,Sports,7610.31,Unilever Egypt
169,Beauty Product 169,Beauty,2084.89,IKEA Egypt
170,Stationery Product 170,Stationery,449.12,Carrefour Supplier
171,Stationery Product 171,Stationery,227.78,Metro Market Supplier
172,Clothing Product 172,Clothing,2535.6,ElAraby Group
173,Stationery Product 173,Stationery,315.24,ElAraby Group
174,Stationery Product 174,Stationery,43.35,ElAraby Group
175,Clothing Product 175,Clothing,887.97,Nestle Egypt
176,Home Appliances Product 176,Home Appliances,4840.52,Fresh Electric
177,Beauty Product 177,Beauty,1750.18,Carrefour Supplier
178,Clothing Product 178,Clothing,286.26,P&G Egypt
179,Sports Product 179,Sports,4432.37,P&G Egypt
180,Electronics Product 180,Electronics,5567.44,P&G Egypt
181,Beauty Product 181,Beauty,2266.85,Adidas Egypt
182,Electronics Product 182,Electronics,21489.93,Metro Market Supplier
183,Beauty Product 183,Beauty,1218.6,Nestle Egypt
184,Furniture Product 184,Furniture,38043.54,P&G Egypt
185,Clothing Product 185,Clothing,1515.87,ElAraby Group
186,Beauty Product 186,Beauty,1239.82,P&G Egypt
187,Sports Product 187,Sports,5417.21,Metro Market Supplier
188,Beauty Product 188,Beauty,1824.24,Unilever Egypt
189,Groceries Product 189,Groceries,196.24,IKEA Egypt
190,Electronics Product 190,Electronics,22719.76,Adidas Egypt
191,Electronics Product 191,Electronics,2556.71,P&G Egypt
192,Groceries Product 192,Groceries,174.04,Sony Middle East
193,Electronics Product 193,Electronics,6873.83,Nestle Egypt
194,Clothing Product 194,Clothing,1418.63,Nestle Egypt
195,Beauty Product 195,Beauty,731.73,P&G Egypt
196,Furniture Product 196,Furniture,41993.18,Unilever Egypt
197,Electronics Product 197,Electronics,18851.09,Samsung Egypt
198,Sports Product 198,Sports,1948.93,LG Egypt
199,Electronics Product 199,Electronics,18978.71,Fresh Electric
200,Clothing Product 200,Clothing,2533.76,Adidas Egypt
201,Groceries Product 201,Groceries,51.52,Unilever Egypt
202,Home Appliances Product 202,Home Appliances,17267.91,Fresh Electric
203,Stationery Product 203,Stationery,351.24,Metro Market Supplier
204,Sports Product 204,Sports,1508.76,Adidas Egypt
205,Home Appliances Product 205,Home Appliances,23511.52,Sony Middle East
206,Furniture Product 206,Furniture,6742.79,Samsung Egypt
207,Furniture Product 207,Furniture,29426.14,P&G Egypt
208,Beauty Product 208,Beauty,2356.6,Fresh Electric
209,Home Appliances Product 209,Home Appliances,18089.26,Nike Egypt
210,Clothing Product 210,Clothing,395.51,Metro Market Supplier
211,Furniture Product 211,Furniture,42739.22,Adidas Egypt
212,Home Appliances Product 212,Home Appliances,24049.83,Adidas Egypt
213,Electronics Product 213,Electronics,9006.49,P&G Egypt
214,Sports Product 214,Sports,737.86,Nike Egypt
215,Sports Product 215,Sports,298.69,P&G Egypt
216,Stationery Product 216,Stationery,57.24,Nestle Egypt
217,Stationery Product 217,Stationery,355.12,P&G Egypt
218,Groceries Product 218,Groceries,148.09,Nike Egypt
219,Furniture Product 219,Furniture,31371.75,IKEA Egypt
220,Stationery Product 220,Stationery,235.11,Carrefour Supplier
221,Furniture Product 221,Furniture,17131.77,Fresh Electric
222,Home Appliances Product 222,Home Appliances,8944.7,Unilever Egypt
223,Clothing Product 223,Clothing,2276.38,Adidas Egypt
224,Beauty Product 224,Beauty,874.17,Unilever Egypt
225,Sports Product 225,Sports,1618.35,Fresh Electric
226,Sports Product 226,Sports,6423.09,Nestle Egypt
227,Furniture Product 227,Furniture,44195.52,Carrefour Supplier
228,Furniture Product 228,Furniture,28455.86,IKEA Egypt
229,Clothing Product 229,Clothing,348.28,Carrefour Supplier
230,Beauty Product 230,Beauty,1247.02,Metro Market Supplier
231,Clothing Product 231,Clothing,2102.77,Nike Egypt
232,Stationery Product 232,Stationery,226.85,Samsung Egypt
233,Home Appliances Product 233,Home Appliances,9391.68,P&G Egypt
234,Clothing Product 234,Clothing,988,Adidas Egypt
235,Sports Product 235,Sports,3891.43,IKEA Egypt
236,Sports Product 236,Sports,3518.93,Carrefour Supplier
237,Sports Product 237,Sports,2944.12,Unilever Egypt
238,Furniture Product 238,Furniture,16371.22,Fresh Electric
239,Home Appliances Product 239,Home Appliances,21861.5,Nestle Egypt
240,Home Appliances Product 240,Home Appliances,22492.13,Metro Market Supplier
241,Groceries Product 241,Groceries,42.35,Carrefour Supplier
242,Stationery Product 242,Stationery,141.87,Adidas Egypt
243,Furniture Product 243,Furniture,49054.77,Fresh Electric
244,Furniture Product 244,Furniture,12532.93,Sony Middle East
245,Furniture Product 245,Furniture,2186.2,IKEA Egypt
246,Groceries Product 246,Groceries,58.49,Samsung Egypt
247,Furniture Product 247,Furniture,35324.74,Sony Middle East
248,Stationery Product 248,Stationery,55.78,Samsung Egypt
249,Furniture Product 249,Furniture,24265.75,Unilever Egypt
250,Sports Product 250,Sports,1638.04,Samsung Egypt
251,Furniture Product 251,Furniture,47141.58,Unilever Egypt
252,Home Appliances Product 252,Home Appliances,24805.78,P&G Egypt
253,Stationery Product 253,Stationery,41.67,Nike Egypt
254,Electronics Product 254,Electronics,4217.31,Metro Market Supplier
255,Furniture Product 255,Furniture,5631.27,Fresh Electric
256,Home Appliances Product 256,Home Appliances,17095.73,P&G Egypt
257,Clothing Product 257,Clothing,2349.51,P&G Egypt
258,Stationery Product 258,Stationery,454.71,ElAraby Group
259,Beauty Product 259,Beauty,798.18,Adidas Egypt
260,Electronics Product 260,Electronics,15435.96,Carrefour Supplier
261,Home Appliances Product 261,Home Appliances,28469.63,Fresh Electric
262,Clothing Product 262,Clothing,867.47,LG Egypt
263,Groceries Product 263,Groceries,51.77,IKEA Egypt
264,Home Appliances Product 264,Home Appliances,5370.75,P&G Egypt
265,Stationery Product 265,Stationery,346.24,Unilever Egypt
266,Furniture Product 266,Furniture,3083.03,ElAraby Group
267,Furniture Product 267,Furniture,35594.9,Unilever Egypt
268,Home Appliances Product 268,Home Appliances,20871.64,ElAraby Group
269,Clothing Product 269,Clothing,1332.9,IKEA Egypt
270,Clothing Product 270,Clothing,1978.14,ElAraby Group
271,Groceries Product 271,Groceries,18.92,Sony Middle East
272,Furniture Product 272,Furniture,30359.64,Adidas Egypt
273,Furniture Product 273,Furniture,22798.94,Unilever Egypt
274,Furniture Product 274,Furniture,35437.08,ElAraby Group
275,Stationery Product 275,Stationery,221.69,Adidas Egypt
276,Electronics Product 276,Electronics,22290.86,Carrefour Supplier
277,Sports Product 277,Sports,4908.97,Samsung Egypt
278,Home Appliances Product 278,Home Appliances,7484.59,Nike Egypt
279,Electronics Product 279,Electronics,24989.52,Nike Egypt
280,Furniture Product 280,Furniture,29447.98,Metro Market Supplier
281,Groceries Product 281,Groceries,96.75,Nike Egypt
282,Stationery Product 282,Stationery,458.46,Sony Middle East
283,Beauty Product 283,Beauty,1605.22,Unilever Egypt
284,Home Appliances Product 284,Home Appliances,14524.3,P&G Egypt
285,Sports Product 285,Sports,2704.25,LG Egypt
286,Groceries Product 286,Groceries,69.31,Carrefour Supplier
287,Stationery Product 287,Stationery,147.67,P&G Egypt
288,Electronics Product 288,Electronics,11643.23,Nestle Egypt
289,Furniture Product 289,Furniture,17178.78,Metro Market Supplier
290,Beauty Product 290,Beauty,2169.03,Samsung Egypt
291,Stationery Product 291,Stationery,209.56,Fresh Electric
292,Sports Product 292,Sports,5056.54,Unilever Egypt
293,Stationery Product 293,Stationery,381.2,Fresh Electric
294,Furniture Product 294,Furniture,28137.15,ElAraby Group
295,Stationery Product 295,Stationery,441.02,Unilever Egypt
296,Home Appliances Product 296,Home Appliances,1642.99,Nike Egypt
297,Clothing Product 297,Clothing,2158.37,ElAraby Group
298,Electronics Product 298,Electronics,14030.16,LG Egypt
299,Clothing Product 299,Clothing,2977.55,LG Egypt
300,Stationery Product 300,Stationery,473.8,Nike Egypt
301,Groceries Product 301,Groceries,102.18,Carrefour Supplier
302,Furniture Product 302,Furniture,26180.29,ElAraby Group
303,Beauty Product 303,Beauty,2095.07,Unilever Egypt
304,Clothing Product 304,Clothing,1424.68,Sony Middle East
305,Beauty Product 305,Beauty,517,Adidas Egypt
306,Groceries Product 306,Groceries,173.49,ElAraby Group
307,Beauty Product 307,Beauty,882.69,Metro Market Supplier
308,Furniture Product 308,Furniture,41296.65,ElAraby Group
309,Furniture Product 309,Furniture,42117.58,Adidas Egypt
310,Stationery Product 310,Stationery,433.3,Unilever Egypt
311,Stationery Product 311,Stationery,175.84,IKEA Egypt
312,Beauty Product 312,Beauty,1165.59,Nestle Egypt
313,Clothing Product 313,Clothing,2944.25,Fresh Electric
314,Beauty Product 314,Beauty,622.23,Metro Market Supplier
315,Beauty Product 315,Beauty,156.94,Carrefour Supplier
316,Stationery Product 316,Stationery,354.09,Metro Market Supplier
317,Beauty Product 317,Beauty,995.89,Nike Egypt
318,Groceries Product 318,Groceries,101.59,Samsung Egypt
319,Groceries Product 319,Groceries,102.95,Adidas Egypt
320,Sports Product 320,Sports,6983.66,Unilever Egypt
321,Home Appliances Product 321,Home Appliances,16157.77,Unilever Egypt
322,Electronics Product 322,Electronics,18199.87,P&G Egypt
323,Groceries Product 323,Groceries,19.59,Metro Market Supplier
324,Furniture Product 324,Furniture,17920.22,Carrefour Supplier
325,Beauty Product 325,Beauty,1642.1,Nestle Egypt
326,Beauty Product 326,Beauty,2387.64,Nike Egypt
327,Stationery Product 327,Stationery,436.83,Samsung Egypt
328,Home Appliances Product 328,Home Appliances,7655.29,Nike Egypt
329,Furniture Product 329,Furniture,49875.16,Carrefour Supplier
330,Home Appliances Product 330,Home Appliances,13471.97,LG Egypt
331,Home Appliances Product 331,Home Appliances,13755.41,Carrefour Supplier
332,Furniture Product 332,Furniture,45316.07,Samsung Egypt
333,Sports Product 333,Sports,6409.92,ElAraby Group
334,Sports Product 334,Sports,3123.76,Sony Middle East
335,Clothing Product 335,Clothing,1640.38,Adidas Egypt
336,Groceries Product 336,Groceries,38.15,LG Egypt
337,Beauty Product 337,Beauty,1568.29,Fresh Electric
338,Stationery Product 338,Stationery,456.85,Sony Middle East
339,Clothing Product 339,Clothing,1437.33,ElAraby Group
340,Stationery Product 340,Stationery,131.39,Samsung Egypt
341,Stationery Product 341,Stationery,451.1,Nike Egypt
342,Groceries Product 342,Groceries,19.4,Nestle Egypt
343,Furniture Product 343,Furniture,32488.53,P&G Egypt
344,Furniture Product 344,Furniture,23656.54,ElAraby Group
345,Clothing Product 345,Clothing,2998.18,Unilever Egypt
346,Home Appliances Product 346,Home Appliances,7726.41,Adidas Egypt
347,Sports Product 347,Sports,4683.53,Carrefour Supplier
348,Furniture Product 348,Furniture,2564.07,Nike Egypt
349,Beauty Product 349,Beauty,722.48,Adidas Egypt
350,Electronics Product 350,Electronics,22810.12,Carrefour Supplier
351,Stationery Product 351,Stationery,417.26,ElAraby Group
352,Clothing Product 352,Clothing,1860.49,Nestle Egypt
353,Clothing Product 353,Clothing,1946.19,Adidas Egypt
354,Furniture Product 354,Furniture,34371.58,Carrefour Supplier
355,Groceries Product 355,Groceries,127.51,Nike Egypt
356,Electronics Product 356,Electronics,8068.86,Unilever Egypt
357,Electronics Product 357,Electronics,14699.56,Carrefour Supplier
358,Groceries Product 358,Groceries,22.58,ElAraby Group
359,Sports Product 359,Sports,6030.35,Sony Middle East
360,Clothing Product 360,Clothing,483.26,IKEA Egypt
361,Sports Product 361,Sports,4340.65,ElAraby Group
362,Groceries Product 362,Groceries,55.11,Unilever Egypt
363,Furniture Product 363,Furniture,37708.13,Nestle Egypt
364,Home Appliances Product 364,Home Appliances,14475.28,LG Egypt
365,Groceries Product 365,Groceries,152.06,Fresh Electric
366,Beauty Product 366,Beauty,2419.81,Metro Market Supplier
367,Sports Product 367,Sports,904.36,P&G Egypt
368,Electronics Product 368,Electronics,6979.24,LG Egypt
369,Stationery Product 369,Stationery,187.45,Carrefour Supplier
370,Furniture Product 370,Furniture,29851.16,Nike Egypt
371,Sports Product 371,Sports,1045.1,Fresh Electric
372,Stationery Product 372,Stationery,17.39,IKEA Egypt
373,Sports Product 373,Sports,7339,Fresh Electric
374,Home Appliances Product 374,Home Appliances,19353.79,Unilever Egypt
375,Furniture Product 375,Furniture,32988.11,LG Egypt
376,Groceries Product 376,Groceries,13.84,Samsung Egypt
377,Furniture Product 377,Furniture,49802.48,LG Egypt
378,Home Appliances Product 378,Home Appliances,7656.16,IKEA Egypt
379,Groceries Product 379,Groceries,80.79,Nestle Egypt
380,Beauty Product 380,Beauty,1488.98,Carrefour Supplier
381,Groceries Product 381,Groceries,177.66,Nike Egypt
382,Home Appliances Product 382,Home Appliances,25143.84,Adidas Egypt
383,Beauty Product 383,Beauty,2350.68,ElAraby Group
384,Electronics Product 384,Electronics,17411.88,Fresh Electric
385,Stationery Product 385,Stationery,225.12,Fresh Electric
386,Sports Product 386,Sports,974.97,Nike Egypt
387,Sports Product 387,Sports,4446.83,Nike Egypt
388,Sports Product 388,Sports,672.29,ElAraby Group
389,Clothing Product 389,Clothing,2907.8,Unilever Egypt
390,Home Appliances Product 390,Home Appliances,20152.85,Nike Egypt
391,Electronics Product 391,Electronics,1739.17,Nestle Egypt
392,Clothing Product 392,Clothing,2967.58,Metro Market Supplier
393,Clothing Product 393,Clothing,298.97,Metro Market Supplier
394,Clothing Product 394,Clothing,1800.51,Fresh Electric
395,Sports Product 395,Sports,6240.07,Metro Market Supplier
396,Electronics Product 396,Electronics,7293.23,Sony Middle East
397,Groceries Product 397,Groceries,110.34,Metro Market Supplier
398,Groceries Product 398,Groceries,26.44,Samsung Egypt
399,Groceries Product 399,Groceries,7.9,Metro Market Supplier
400,Clothing Product 400,Clothing,1807.67,Samsung Egypt
401,Groceries Product 401,Groceries,56.75,Sony Middle East
402,Beauty Product 402,Beauty,1338.91,Carrefour Supplier
403,Home Appliances Product 403,Home Appliances,14706.38,Metro Market Supplier
404,Sports Product 404,Sports,4203.26,LG Egypt
405,Stationery Product 405,Stationery,254.4,Adidas Egypt
406,Electronics Product 406,Electronics,18317.45,Nike Egypt
407,Furniture Product 407,Furniture,23715.06,Samsung Egypt
408,Electronics Product 408,Electronics,24965.38,P&G Egypt
409,Beauty Product 409,Beauty,1730.94,Unilever Egypt
410,Stationery Product 410,Stationery,41.38,LG Egypt
411,Sports Product 411,Sports,4944.72,LG Egypt
412,Groceries Product 412,Groceries,58.63,Nike Egypt
413,Sports Product 413,Sports,3171.05,Adidas Egypt
414,Furniture Product 414,Furniture,23505.2,Adidas Egypt
415,Beauty Product 415,Beauty,292.99,Carrefour Supplier
416,Home Appliances Product 416,Home Appliances,25701.55,Nike Egypt
417,Clothing Product 417,Clothing,1347.2,Fresh Electric
418,Beauty Product 418,Beauty,880.38,Unilever Egypt
419,Beauty Product 419,Beauty,1069.17,LG Egypt
420,Sports Product 420,Sports,3528.76,Nike Egypt
421,Furniture Product 421,Furniture,19653.6,Sony Middle East
422,Stationery Product 422,Stationery,38.23,LG Egypt
423,Home Appliances Product 423,Home Appliances,13410.79,Carrefour Supplier
424,Sports Product 424,Sports,6531.8,IKEA Egypt
425,Electronics Product 425,Electronics,14868.39,IKEA Egypt
426,Sports Product 426,Sports,5426.1,P&G Egypt
427,Sports Product 427,Sports,7014.14,Metro Market Supplier
428,Beauty Product 428,Beauty,2176.83,Carrefour Supplier
429,Electronics Product 429,Electronics,24225.77,Adidas Egypt
430,Furniture Product 430,Furniture,18554.84,Adidas Egypt
431,Clothing Product 431,Clothing,548.72,Unilever Egypt
432,Clothing Product 432,Clothing,2557.1,Nestle Egypt
433,Sports Product 433,Sports,1096.11,ElAraby Group
434,Clothing Product 434,Clothing,2440.94,IKEA Egypt
435,Electronics Product 435,Electronics,15420.38,Nike Egypt
436,Furniture Product 436,Furniture,2904.23,ElAraby Group
437,Furniture Product 437,Furniture,46194.57,Nestle Egypt
438,Electronics Product 438,Electronics,4944.44,Sony Middle East
439,Beauty Product 439,Beauty,220.48,Carrefour Supplier
440,Electronics Product 440,Electronics,2748.06,IKEA Egypt
441,Clothing Product 441,Clothing,1190.96,Unilever Egypt
442,Sports Product 442,Sports,1427.79,ElAraby Group
443,Sports Product 443,Sports,6259.32,Adidas Egypt
444,Home Appliances Product 444,Home Appliances,26593.59,Sony Middle East
445,Groceries Product 445,Groceries,152.11,Samsung Egypt
446,Home Appliances Product 446,Home Appliances,8745.4,Nike Egypt
447,Beauty Product 447,Beauty,1239.87,Unilever Egypt
448,Beauty Product 448,Beauty,719.26,Metro Market Supplier
449,Home Appliances Product 449,Home Appliances,10879.05,LG Egypt
450,Furniture Product 450,Furniture,34393.57,Adidas Egypt
451,Stationery Product 451,Stationery,265.83,ElAraby Group
452,Electronics Product 452,Electronics,5902.7,Adidas Egypt
453,Electronics Product 453,Electronics,688.33,ElAraby Group
454,Clothing Product 454,Clothing,2325.31,Metro Market Supplier
455,Furniture Product 455,Furniture,15538.19,LG Egypt
456,Electronics Product 456,Electronics,12685.94,P&G Egypt
457,Groceries Product 457,Groceries,30.19,IKEA Egypt
458,Clothing Product 458,Clothing,1550.76,Nike Egypt
459,Sports Product 459,Sports,762.19,Carrefour Supplier
460,Electronics Product 460,Electronics,11187.38,Unilever Egypt
461,Home Appliances Product 461,Home Appliances,25973.61,Adidas Egypt
462,Beauty Product 462,Beauty,1454.83,Carrefour Supplier
463,Beauty Product 463,Beauty,759.31,P&G Egypt
464,Electronics Product 464,Electronics,24171.89,Sony Middle East
465,Stationery Product 465,Stationery,416.85,Nestle Egypt
466,Home Appliances Product 466,Home Appliances,13551.98,LG Egypt
467,Clothing Product 467,Clothing,1363.46,P&G Egypt
468,Home Appliances Product 468,Home Appliances,12356.39,ElAraby Group
469,Sports Product 469,Sports,1928.26,Metro Market Supplier
470,Groceries Product 470,Groceries,19.89,Nike Egypt
