order_id,order_date,customer_id,city,segment,product_category,payment_method,quantity,unit_price,discount,shipping_cost,delivery_days,revenue,profit,is_returned,rating
66,2023-03-22,11695,Tanta,Consumer,Furniture,Card,6,125.79,0.09,14.88,5,686.79,273.1,1,5
67,2024-07-15,13258,Giza,Consumer,Furniture,Card,4,122.89,0.17,18.98,4,408.0,-22.6,0,3
68,2024-01-23,13262,Luxor,Consumer,Technology,Online,2,192.43,0.07,15.84,4,357.92,83.39,0,5
69,2023-01-02,11445,Alexandria,Consumer,Office Supplies,Online,6,30.62,0.22,30.5,7,143.32,-34.53,0,5
70,2024-01-25,16263,Tanta,Corporate,Office Supplies,Card,6,6.18,0.07,13.85,7,34.48,-9.43,0,2
71,2024-07-19,18411,Alexandria,Consumer,Technology,Card,5,196.55,0.21,3.31,6,776.36,-110.89,1,3
72,2023-04-16,10052,Alexandria,Consumer,Furniture,Card,4,163.68,0.02,6.5,3,641.64,216.91,0,4
73,2024-04-21,19949,Alexandria,Corporate,Furniture,Card,4,130.03,0.07,10.73,6,483.69,33.07,0,5
74,2024-12-03,15570,Luxor,Consumer,Furniture,Card,4,133.63,0.42,3.38,9,310.02,-21.94,0,2
75,2024-02-06,17579,Mansoura,Corporate,Technology,Card,3,223.62,0.21,11.5,3,529.98,-84.1,0,3
76,2024-12-30,11666,Cairo,Corporate,Furniture,Cash,3,131.45,0.09,7.19,7,358.87,89.78,0,5
77,2024-07-09,16901,Cairo,Consumer,Technology,Online,5,206.85,0.1,6.18,5,930.8,134.4,0,5
78,2023-06-11,12785,Mansoura,Corporate,Furniture,Online,2,174.79,0.2,25.38,7,279.66,-59.57,0,4
79,2023-07-21,10719,Alexandria,Corporate,Office Supplies,Card,3,6.37,0.12,14.64,2,16.82,-8.91,0,5
80,2023-09-27,18597,Alexandria,Consumer,Office Supplies,Online,4,7.87,0.27,10.65,3,22.97,-11.27,1,4
81,2023-09-28,16855,Giza,Consumer,Technology,Card,1,195.37,0.07,12.65,2,181.69,-6.66,0,4
82,2024-03-31,12294,Cairo,Consumer,Furniture,Card,3,151.35,0.16,3.28,7,381.41,-20.35,0,4
83,2024-04-06,18263,Luxor,Home Office,Office Supplies,Online,3,17.17,0.14,24.33,9,44.29,-10.34,1,5
84,2024-12-27,19421,Luxor,Corporate,Technology,Card,3,239.43,0.19,11.95,3,581.8,182.35,0,4
85,2023-09-09,19759,Giza,Consumer,Office Supplies,Card,5,40.77,0.12,5.48,7,179.4,37.24,0,4
86,2024-12-02,14482,Giza,Corporate,Office Supplies,Card,4,13.91,0.1,10.0,7,50.09,-4.73,0,4
87,2023-10-23,10698,Aswan,Consumer,Office Supplies,Card,2,5.0,0.13,19.96,3,8.7,-19.42,0,2
88,2024-12-25,17243,Cairo,Corporate,Technology,Online,6,198.74,0.33,15.03,5,798.93,-102.04,0,5
89,2024-12-20,19018,Tanta,Corporate,Technology,Online,5,208.78,0.1,11.25,6,939.5,149.55,0,5
90,2023-12-04,15918,Cairo,Consumer,Office Supplies,Online,6,66.81,0.24,16.02,5,304.65,68.86,0,5
91,2023-02-22,10348,Alexandria,Corporate,Technology,Online,4,201.52,0.26,6.02,8,596.49,45.18,0,5
92,2023-08-05,15374,Mansoura,Corporate,Technology,Online,4,195.14,0.26,14.49,9,577.62,-7.05,0,4
93,2023-07-07,17869,Alexandria,Corporate,Furniture,Online,3,130.47,0.08,2.59,6,360.09,54.77,1,4
94,2024-01-15,10307,Giza,Consumer,Technology,Card,3,207.41,0.08,7.54,2,572.45,230.95,0,4
95,2024-05-07,13416,Luxor,Corporate,Office Supplies,Online,4,50.33,0.2,12.27,2,161.07,-7.49,1,1
96,2023-02-10,14820,Giza,Home Office,Furniture,Card,2,114.25,0.26,15.45,4,169.09,-46.64,0,4
97,2023-06-06,13558,Cairo,Consumer,Office Supplies,Online,3,31.49,0.17,3.3,3,78.42,-1.83,0,1
98,2023-01-15,14478,Mansoura,Consumer,Office Supplies,Card,8,9.6,0.2,9.67,7,61.42,-5.8,1,4
99,2023-03-06,16531,Luxor,Consumer,Technology,Online,3,172.85,0.04,9.44,4,497.8,208.94,0,2
100,2024-06-04,14620,Alexandria,Corporate,Technology,Online,4,233.88,0.06,0.95,3,879.39,113.42,0,1
101,2023-12-10,12985,Giza,Corporate,Office Supplies,Online,4,47.75,0.05,12.2,2,181.43,23.1,0,5
102,2023-05-09,18112,Cairo,Consumer,Furniture,Online,5,137.88,0.11,4.76,4,613.55,112.79,0,5
103,2024-10-09,18467,Cairo,Home Office,Office Supplies,Card,4,26.77,0.16,7.07,5,89.95,-5.02,0,4
104,2024-04-16,12547,Alexandria,Consumer,Office Supplies,Card,4,23.65,0.08,11.05,4,87.05,3.16,0,2
105,2023-03-04,10336,Luxor,Corporate,Technology,Card,6,177.49,0.26,7.43,9,788.04,48.07,0,5
106,2023-05-19,12979,Alexandria,Consumer,Office Supplies,Card,2,19.18,0.21,2.91,1,30.31,4.62,0,3
107,2024-05-13,13968,Aswan,Consumer,Technology,Card,3,215.68,0.25,5.25,9,485.28,25.98,0,4
108,2024-08-15,10910,Cairo,Consumer,Technology,Card,3,188.68,0.36,11.47,8,362.27,32.89,0,3
109,2024-01-27,11996,Giza,Consumer,Office Supplies,Card,5,39.28,0.07,3.86,9,182.65,75.86,0,2
110,2024-11-05,13129,Cairo,Corporate,Office Supplies,Online,2,18.84,0.14,11.05,3,32.4,-1.01,0,4
111,2024-02-23,15447,Giza,Corporate,Furniture,Online,3,126.32,0.08,10.36,9,348.63,93.15,0,3
112,2023-10-16,16129,Cairo,Consumer,Technology,Card,2,223.89,0.02,7.39,9,438.82,91.69,0,4
113,2024-01-14,15850,Mansoura,Consumer,Technology,Card,4,157.39,0.12,13.56,2,554.02,99.92,0,4
114,2024-05-04,14204,Cairo,Consumer,Technology,Card,3,235.7,0.46,16.26,3,381.83,-195.9,0,4
115,2023-08-19,17446,Tanta,Corporate,Technology,Card,2,219.96,0.34,6.74,8,290.35,-66.12,0,4
116,2023-02-10,18519,Giza,Corporate,Technology,Card,5,203.65,0.09,5.74,7,926.63,124.16,0,3
117,2023-01-28,19991,Mansoura,Consumer,Furniture,Card,5,141.08,0.12,6.23,2,620.76,107.35,0,4
118,2023-05-15,10314,Alexandria,Corporate,Office Supplies,Card,2,22.64,0.09,8.89,9,41.21,-2.33,1,4
119,2023-07-20,11134,Mansoura,Consumer,Technology,Card,1,204.05,0.1,11.96,2,183.64,-10.12,0,4
120,2023-02-02,14876,Cairo,Home Office,Technology,Card,2,203.7,0.14,26.46,1,350.36,5.19,0,3
121,2023-02-17,18102,Luxor,Home Office,Office Supplies,Card,3,10.82,0.21,4.26,9,25.64,-4.49,0,5
122,2024-05-17,19712,Tanta,Corporate,Office Supplies,Online,3,31.36,0.18,3.14,4,77.13,16.0,0,4
123,2024-02-11,18347,Cairo,Home Office,Office Supplies,Online,4,35.17,0.01,3.05,6,139.29,38.99,0,2
124,2024-07-27,15592,Cairo,Corporate,Technology,Card,4,193.99,0.04,7.93,5,744.91,213.93,0,5
125,2024-12-28,11724,Giza,Corporate,Technology,Card,5,244.78,0.09,7.71,4,1113.77,321.05,0,4
126,2023-04-09,13343,Mansoura,Corporate,Furniture,Card,4,147.32,0.04,6.44,4,565.71,156.31,0,4
127,2024-11-14,10886,Alexandria,Consumer,Furniture,Card,3,114.73,0.07,19.07,3,320.1,46.6,0,4
128,2024-12-26,10721,Alexandria,Consumer,Furniture,Card,3,129.79,0.1,18.8,4,350.44,39.73,0,4
129,2024-06-30,17678,Cairo,Consumer,Furniture,Card,4,164.07,0.06,15.18,4,616.91,53.19,0,5
130,2024-09-04,19104,Cairo,Corporate,Technology,Card,4,185.55,0.01,6.7,7,734.78,162.13,0,5
131,2024-04-06,13357,Aswan,Consumer,Furniture,Card,8,130.12,0.16,10.63,9,874.43,-18.7,0,5
132,2024-10-04,10870,Cairo,Consumer,Furniture,Online,3,177.91,0.03,13.77,4,517.71,96.9,0,5
133,2023-01-05,16751,Alexandria,Consumer,Furniture,Card,3,153.4,0.02,26.84,6,450.98,129.61,0,4
134,2023-08-06,10497,Tanta,Consumer,Furniture,Card,5,137.98,0.1,8.19,6,620.89,93.67,0,2
135,2024-05-17,11756,Cairo,Corporate,Furniture,Card,3,94.62,0.08,9.27,5,261.16,27.18,0,4
136,2024-02-02,11117,Alexandria,Home Office,Technology,Card,6,212.41,0.19,5.16,5,1032.3,40.39,0,3
137,2024-01-28,12828,Cairo,Corporate,Technology,Online,4,200.31,0.15,19.73,9,681.05,-11.69,0,4
138,2023-07-26,11647,Alexandria,Corporate,Furniture,Cash,5,176.01,0.17,19.82,2,730.46,-48.19,0,3
139,2023-01-15,16992,Cairo,Corporate,Technology,Card,3,178.11,0.11,9.06,6,475.55,127.68,0,4
140,2024-07-07,16771,Luxor,Consumer,Furniture,Cash,5,142.54,0.09,2.99,9,648.53,266.71,0,4
141,2024-04-05,10142,Giza,Consumer,Office Supplies,Cash,3,35.97,0.16,5.94,3,90.65,2.42,0,5
142,2024-11-21,12761,Giza,Home Office,Technology,Card,4,225.12,0.04,24.47,4,864.46,350.03,0,5
143,2024-07-28,13435,Alexandria,Consumer,Technology,Card,4,205.17,0.01,3.85,6,812.47,108.1,0,1
144,2023-08-29,16622,Cairo,Consumer,Office Supplies,Online,4,15.85,0.05,10.77,7,60.23,-3.09,0,3
145,2024-07-17,17069,Luxor,Corporate,Technology,Card,8,225.96,0.19,12.7,3,1464.19,31.75,0,5
146,2023-04-06,14512,Giza,Consumer,Technology,Card,3,193.75,0.12,2.87,8,511.51,2.67,0,5
147,2024-04-29,11848,Alexandria,Consumer,Technology,Card,7,203.6,0.13,3.78,9,1239.93,17.78,0,2
148,2024-02-11,12696,Cairo,Consumer,Office Supplies,Online,1,45.01,0.02,9.66,2,44.11,-4.67,1,4
149,2023-08-19,11717,Luxor,Consumer,Technology,Online,4,231.26,0.07,10.96,7,860.3,114.68,0,4
150,2024-10-16,13072,Cairo,Consumer,Furniture,Online,5,157.38,0.16,5.85,7,660.99,145.72,0,5
151,2023-06-20,19259,Giza,Consumer,Furniture,Online,3,201.75,0.11,9.1,3,538.66,215.38,0,5
152,2024-06-24,12786,Cairo,Corporate,Technology,Online,3,198.21,0.07,16.79,2,553.0,224.26,0,4
153,2023-02-05,13791,Luxor,Corporate,Technology,Cash,4,205.87,0.18,26.78,9,675.26,-24.52,0,5
154,2024-06-08,19480,Cairo,Consumer,Office Supplies,Online,5,17.63,0.09,1.18,7,80.2,28.21,0,4
155,2023-06-09,13871,Tanta,Home Office,Furniture,Online,5,156.45,0.07,19.03,4,727.5,219.37,0,3
156,2024-11-29,11806,Tanta,Consumer,Technology,Card,1,205.94,0.11,3.8,5,183.29,28.24,0,4
157,2023-08-31,11504,Cairo,Consumer,Technology,Cash,1,220.91,0.09,9.36,7,201.03,69.63,0,4
158,2023-03-27,13308,Alexandria,Consumer,Furniture,Online,5,158.89,0.38,14.67,9,492.56,-232.45,0,5
159,2024-07-31,17117,Cairo,Corporate,Office Supplies,Online,6,19.46,0.13,1.44,5,101.56,3.6,0,5
160,2024-11-12,15048,Giza,Consumer,Technology,Online,5,205.13,0.15,4.79,7,871.79,114.3,0,4
161,2024-07-10,18263,Luxor,Corporate,Furniture,Online,5,136.55,0.12,12.48,1,600.83,-1.13,0,5
162,2024-07-27,11690,Alexandria,Corporate,Technology,Online,7,210.99,0.01,6.62,5,1462.16,425.49,0,3
163,2024-10-07,19536,Alexandria,Consumer,Technology,Card,3,188.82,0.13,6.99,8,492.81,-0.63,0,4
164,2023-01-28,13303,Giza,Corporate,Technology,Card,4,172.04,0.12,3.13,2,605.58,31.01,0,2
165,2024-09-11,13113,Giza,Home Office,Office Supplies,Card,3,7.4,0.02,3.56,8,21.75,6.97,0,4
166,2024-07-09,19074,Cairo,Consumer,Furniture,Card,2,126.5,0.02,4.13,5,247.94,36.68,0,4
167,2023-12-06,17850,Luxor,Consumer,Office Supplies,Card,8,19.44,0.19,15.57,8,125.96,-16.13,0,4
168,2023-11-27,16416,Alexandria,Corporate,Office Supplies,Card,4,13.05,0.1,7.64,2,46.99,6.62,0,3
169,2024-10-01,11504,Luxor,Corporate,Office Supplies,Card,3,29.56,0.15,2.38,8,75.37,11.17,0,4
170,2024-05-20,18924,Cairo,Consumer,Technology,Online,6,192.16,0.35,13.32,5,749.43,95.89,0,4
171,2023-12-14,19940,Giza,Consumer,Technology,Card,5,210.32,0.12,15.94,4,925.42,103.28,0,1
172,2024-04-17,13924,Giza,Consumer,Office Supplies,Online,6,37.65,0.03,1.27,9,219.15,43.97,0,3
173,2023-08-19,18615,Cairo,Consumer,Office Supplies,Online,3,23.52,0.2,17.94,3,56.45,-24.47,0,5
174,2023-07-09,19783,Giza,Consumer,Office Supplies,Card,4,54.85,0.28,2.88,3,157.96,-18.04,0,5
175,2023-08-13,14485,Aswan,Home Office,Technology,Card,1,181.47,0.11,15.7,8,161.51,22.6,0,2
176,2024-01-20,18100,Tanta,Corporate,Technology,Online,8,220.13,0.16,12.86,2,1479.27,458.9,0,5
177,2024-01-12,18684,Alexandria,Consumer,Office Supplies,Online,8,33.12,0.16,5.81,3,222.59,0.79,0,4
178,2023-10-10,10191,Giza,Corporate,Technology,Card,3,192.11,0.07,1.16,8,535.99,165.1,0,5
179,2024-09-24,18690,Cairo,Home Office,Furniture,Card,3,172.59,0.3,11.83,9,362.44,-103.73,0,4
180,2024-09-19,14917,Tanta,Consumer,Furniture,Card,4,161.14,0.18,8.05,1,528.55,126.77,0,5
181,2023-09-16,15831,Cairo,Consumer,Technology,Card,5,178.49,0.06,15.04,8,838.89,307.45,0,4
182,2023-12-25,19448,Mansoura,Consumer,Technology,Card,3,207.28,0.27,8.97,7,453.94,-20.27,0,2
183,2024-12-10,14322,Giza,Corporate,Technology,Card,6,207.26,0.09,7.81,2,1131.64,46.59,0,5
184,2024-03-31,16999,Giza,Consumer,Technology,Cash,2,220.15,0.13,10.79,1,383.06,127.27,0,5
185,2024-02-15,19008,Tanta,Home Office,Furniture,Online,1,161.71,0.24,8.43,7,122.9,30.94,0,3
186,2024-10-10,17282,Cairo,Consumer,Technology,Cash,5,213.14,0.19,18.89,8,863.21,-100.9,0,3
187,2023-11-14,19665,Alexandria,Consumer,Technology,Online,2,191.17,0.13,6.9,1,332.64,113.66,0,4
188,2024-11-07,19278,Alexandria,Consumer,Office Supplies,Online,2,25.81,0.04,15.86,4,49.55,-4.66,0,5
189,2023-08-13,11874,Cairo,Consumer,Furniture,Online,3,144.96,0.25,12.09,3,326.15,62.0,0,2
190,2023-08-22,19062,Giza,Corporate,Technology,Card,2,168.03,0.13,9.76,5,292.37,92.04,0,5
191,2024-11-14,14763,Alexandria,Home Office,Office Supplies,Card,2,55.73,0.04,1.58,9,107.01,42.74,0,5
192,2024-10-25,18464,Luxor,Consumer,Office Supplies,Online,2,7.62,0.17,7.54,1,12.64,-6.84,0,5
193,2024-01-09,19221,Cairo,Home Office,Technology,Online,4,205.37,0.13,2.66,3,714.7,51.68,0,4
194,2024-11-02,11051,Mansoura,Corporate,Furniture,Card,5,143.38,0.04,5.32,2,688.22,290.1,0,2
195,2024-08-30,19765,Cairo,Consumer,Furniture,Card,4,145.23,0.07,5.01,1,540.26,213.05,0,5
196,2024-04-16,17538,Cairo,Corporate,Technology,Online,3,213.55,0.11,16.15,6,570.18,-5.73,0,5
197,2023-08-21,17411,Cairo,Consumer,Office Supplies,Card,4,14.39,0.23,8.55,6,44.33,-6.57,0,1
198,2024-11-22,16320,Cairo,Corporate,Office Supplies,Card,3,39.13,0.11,17.3,9,104.48,-8.2,0,4
199,2023-04-23,12105,Cairo,Consumer,Office Supplies,Online,4,39.32,0.24,2.49,8,119.54,33.34,1,1
200,2024-05-11,10307,Mansoura,Corporate,Technology,Card,3,184.49,0.12,7.12,2,487.05,191.59,0,4
201,2024-03-17,17737,Giza,Consumer,Technology,Cash,5,218.22,0.07,30.18,9,1014.74,266.08,0,5
202,2024-07-17,13359,Cairo,Corporate,Office Supplies,Online,3,57.35,0.21,10.18,6,135.92,1.5,0,4
203,2023-09-25,13176,Cairo,Corporate,Furniture,Card,5,190.49,0.45,4.59,9,523.86,-98.88,0,5
204,2024-05-24,11251,Luxor,Consumer,Technology,Card,2,194.76,0.04,3.4,7,373.94,64.62,0,4
205,2024-01-21,15366,Tanta,Consumer,Office Supplies,Card,3,33.82,0.05,13.59,8,96.39,4.9,0,5
206,2024-01-22,11517,Cairo,Consumer,Technology,Card,5,205.04,0.11,7.59,7,912.44,209.0,0,4
207,2023-04-23,16226,Cairo,Corporate,Technology,Online,5,213.32,0.19,16.08,8,863.93,280.68,0,4
208,2024-09-04,15305,Cairo,Consumer,Office Supplies,Card,3,64.97,0.16,1.91,9,163.73,17.93,0,4
209,2024-09-16,19570,Cairo,Corporate,Technology,Card,8,209.74,0.14,0.18,6,1442.99,441.52,0,2
210,2023-03-22,15869,Cairo,Consumer,Technology,Card,3,210.28,0.21,6.36,7,498.37,79.22,0,4
211,2024-11-29,18039,Giza,Consumer,Technology,Card,2,178.11,0.09,7.65,2,324.15,136.35,0,5
212,2023-04-23,14891,Cairo,Consumer,Furniture,Card,1,190.97,0.12,2.32,7,168.06,30.44,0,3
213,2023-01-02,14992,Alexandria,Consumer,Technology,Cash,4,190.49,0.05,17.32,1,723.87,112.52,0,4
214,2024-10-03,11961,Cairo,Corporate,Furniture,Card,3,96.81,0.13,11.58,4,252.67,28.79,0,5
215,2023-08-08,12863,Mansoura,Home Office,Furniture,Card,3,104.49,0.25,16.47,3,235.09,-32.34,0,3
216,2024-07-19,16603,Tanta,Consumer,Office Supplies,Card,5,36.5,0.14,16.57,4,156.96,-23.83,0,5
217,2023-08-13,14567,Alexandria,Consumer,Technology,Online,2,174.54,0.24,2.69,5,265.3,-0.26,0,4
218,2024-01-20,16513,Giza,Consumer,Office Supplies,Card,3,31.08,0.21,10.16,4,73.65,8.63,0,5
219,2024-02-07,14005,Giza,Corporate,Technology,Cash,3,170.11,0.06,12.76,4,479.7,94.96,0,2
220,2024-09-29,19114,Giza,Consumer,Furniture,Card,4,156.1,0.11,16.02,8,555.72,166.29,0,5
221,2023-05-10,10183,Luxor,Corporate,Furniture,Online,2,161.29,0.21,22.13,2,254.83,28.81,0,1
222,2023-02-22,17755,Giza,Home Office,Technology,Card,4,203.52,0.25,20.07,1,610.55,68.81,0,4
223,2024-11-14,13358,Tanta,Consumer,Office Supplies,Online,3,16.07,0.12,2.79,8,42.43,5.5,0,3
224,2024-12-30,16615,Mansoura,Corporate,Technology,Cash,7,217.57,0.02,8.62,7,1492.54,403.36,0,4
225,2024-11-02,19590,Giza,Consumer,Technology,Online,5,192.01,0.12,6.94,2,844.86,101.62,0,5
226,2024-12-10,16797,Alexandria,Consumer,Technology,Card,5,196.23,0.09,4.32,3,892.86,226.17,1,3
227,2024-02-20,18728,Cairo,Consumer,Furniture,Online,3,139.81,0.12,6.01,1,369.09,121.88,0,5
228,2023-09-04,17678,Cairo,Consumer,Technology,Online,2,194.64,0.13,21.41,6,338.68,46.17,0,4
229,2024-03-14,15698,Giza,Consumer,Technology,Card,10,237.42,0.04,10.15,4,2279.28,325.6,1,5
230,2023-07-22,11273,Cairo,Consumer,Technology,Card,7,199.9,0.03,0.91,8,1357.33,263.38,0,5
231,2023-07-03,16653,Tanta,Consumer,Furniture,Cash,4,124.61,0.09,1.64,3,453.57,179.73,0,2
232,2023-05-03,11096,Cairo,Consumer,Furniture,Card,5,130.81,0.02,6.63,1,640.99,59.21,0,5
233,2024-02-05,19497,Giza,Corporate,Technology,Online,4,194.48,0.09,27.9,1,707.89,195.88,0,5
234,2023-10-21,19107,Alexandria,Home Office,Technology,Card,5,184.11,0.14,2.59,6,791.66,112.86,0,1
235,2023-10-07,18002,Luxor,Consumer,Furniture,Card,6,168.99,0.18,15.71,7,831.45,295.75,0,3
236,2024-09-01,14247,Giza,Consumer,Office Supplies,Cash,3,5.0,0.27,9.11,8,10.95,-11.12,1,4
