date,region,latitude,longitude,category,price,quantity,discount,revenue,customer_age,customer_segment
2023-04-29,Cairo,30.053566737118473,31.256924834106872,Home,2233.15,7,0.3,10942.44,18.0,High
2023-05-22,Zagazig,30.582690594628037,31.48665909830049,Groceries,141.08,11,0.0,1551.92,49.0,Middle
2023-04-10,Mansoura,31.031671870500176,31.369793808624483,Sports,1251.75,8,0.25,7510.49,21.0,High
2023-10-30,Alexandria,31.217164624557466,29.91882025584792,Groceries,280.91,11,0.5,1545.03,32.0,Middle
2023-05-11,Zagazig,30.582288188454665,31.508650113624327,Sports,734.1,4,0.15,2495.95,40.0,Middle
2023-04-13,Zagazig,30.594470023973138,31.50819745189361,Home,2027.87,6,0.5,6083.62,29.0,High
2023-07-18,Mansoura,31.051988414190717,31.379344965942565,Clothing,811.6,7,0.5,2840.61,48.0,Middle
2023-02-21,Mansoura,31.04896332019059,31.382023923620782,Clothing,476.58,4,0.2,1525.06,67.0,Middle
2023-10-20,Giza,30.01909271670873,31.21008433646062,Electronics,4485.4,5,0.25,16820.25,25.0,High
2023-01-28,Giza,30.019901760800636,31.219393655970176,Groceries,210.39,9,0.1,1704.12,37.0,Middle
2023-12-27,Zagazig,30.598274531394342,31.496437450358567,Groceries,46.58,9,0.3,293.44,35.0,Low
2023-10-09,Giza,30.01627721735013,31.204470091005593,Groceries,171.69,9,0.2,1236.18,39.0,Middle
2023-03-14,Alexandria,31.19970357922105,29.92559432981765,Clothing,1307.29,8,0.15,8889.59,28.0,High
2023-01-03,Cairo,30.030710594432968,31.251423398763748,Electronics,1734.27,10,0.25,13007.04,27.0,High
2023-10-25,Zagazig,30.59088126862374,31.495657515355973,Clothing,741.16,10,0.3,5188.1,27.0,High
2023-09-16,Cairo,30.05468338376958,31.238111825551528,Sports,1668.86,8,0.25,10013.19,29.0,High
2023-09-24,Giza,30.002092778003366,31.205115730054203,Groceries,260.34,14,0.0,3644.76,30.0,High
2023-10-09,Mansoura,31.038609432778582,31.38404765789092,Sports,1618.12,6,0.2,7766.96,18.0,High
2023-01-28,Zagazig,30.591953731067992,31.485587251268043,Home,1111.42,6,0.25,5001.39,36.0,High
2023-05-11,Giza,30.028223657973715,31.2054427632651,Sports,1161.78,11,0.15,10862.65,31.0,High
2023-02-12,Alexandria,31.188514308424537,29.912957910295784,Sports,1560.17,12,0.3,13105.45,26.0,High
2023-11-12,Zagazig,30.595634524888347,31.498576460261468,Sports,559.4,8,0.3,3132.64,36.0,High
2023-08-16,Zagazig,30.584122130915194,31.47661118103352,Clothing,973.5,11,0.15,9102.2,35.0,High
2023-05-01,Mansoura,31.034163674235696,31.39874447627566,Sports,1524.64,7,0.15,9071.58,30.0,High
2023-01-24,Zagazig,30.578519917348856,31.477058044819238,Groceries,258.0,10,0.0,2579.98,35.0,Middle
2023-04-24,Mansoura,31.034344574641892,31.383262066700016,Electronics,1890.85,9,0.2,13614.13,28.0,High
2023-04-29,Giza,30.0180910644198,31.19596081222601,Home,1159.35,7,0.1,7303.9,21.0,High
2023-09-24,Alexandria,31.19782228723756,29.906252868636233,Groceries,171.66,13,0.2,1785.3,59.0,Middle
2023-08-21,Alexandria,31.207242374677318,29.920080228450892,Electronics,3953.7,9,0.25,26687.47,29.0,High
2023-11-20,Zagazig,30.57648151155652,31.50891247008866,Groceries,224.41,7,0.15,1335.24,38.0,Middle
2023-06-22,Zagazig,30.594669971029234,31.491245242882364,Sports,730.54,9,0.0,6574.87,66.0,High
2023-02-13,Giza,30.017437934050193,31.19781945442704,Home,527.75,11,0.3,4063.7,30.0,High
2023-09-18,Mansoura,31.025822035554107,31.365551001094897,Groceries,214.27,6,0.15,1092.77,41.0,Middle
2023-10-05,Alexandria,31.21516233235397,29.92084707044754,Home,2318.25,7,0.1,14604.99,63.0,High
2023-07-24,Mansoura,31.044299049296658,31.36802805008116,Clothing,1236.77,5,0.2,4947.09,18.0,High
2023-10-09,Giza,30.020754307292354,31.221787121948033,Clothing,1009.21,10,0.2,8073.65,51.0,High
2023-06-30,Alexandria,31.211661357486456,29.90716216524981,Sports,1961.87,8,0.0,15694.96,38.0,High
2023-07-10,Alexandria,31.209783751663533,29.924118008273172,Sports,1036.3,8,0.2,6632.31,29.0,High
2023-06-06,Cairo,30.043138975834417,31.251146746801165,Clothing,882.56,5,0.1,3971.54,36.0,High
2023-01-10,Giza,30.020351601334035,31.209588208645975,Groceries,23.44,8,0.25,140.64,31.0,Low
2023-02-09,Giza,29.99499956877472,31.190996366931298,Electronics,4810.83,6,0.3,20205.49,54.0,High
2023-01-12,Cairo,30.04833766242304,31.239700686813404,Electronics,3541.71,6,0.0,21250.28,35.0,High
2023-08-21,Mansoura,31.058224850076957,31.376036819203968,Clothing,708.04,11,0.3,5451.91,43.0,High
2023-04-25,Cairo,30.03744622534516,31.235283575817988,Electronics,1655.98,10,0.3,11591.83,29.0,High
2023-07-05,Giza,30.022254535210774,31.224760448567896,Groceries,121.48,12,0.1,1311.96,39.0,Middle
2023-11-28,Mansoura,31.05862983852097,31.379015745909527,Electronics,1512.59,7,0.0,10588.15,30.0,High
2023-04-01,Alexandria,31.20699206869649,29.923834324114996,Electronics,2635.17,7,0.2,14756.97,18.0,High
2023-05-30,Cairo,30.05465406725142,31.22907949044402,Clothing,1436.89,6,0.1,7759.21,51.0,High
2023-10-03,Mansoura,31.02520527546948,31.375693842387655,Home,808.53,6,0.0,4851.21,39.0,High
2023-03-25,Mansoura,31.031550759185613,31.38973190007441,Home,1590.82,10,0.0,15908.22,44.0,High
2023-01-29,Mansoura,31.055197352661903,31.379863274320456,Groceries,72.25,7,0.0,505.77,26.0,Low
2023-04-16,Cairo,30.05400350152357,31.238554594926814,Home,2066.76,5,0.1,9300.41,49.0,High
2023-02-28,Alexandria,31.20506021063521,29.928711119697365,Sports,1256.08,8,0.25,7536.46,41.0,High
2023-12-06,Mansoura,31.038253883977653,31.394801968001758,Clothing,462.91,8,0.25,2777.44,37.0,Middle
2023-10-22,Cairo,30.04724621047537,31.22414173609559,Home,2232.48,7,0.15,13283.27,47.0,High
2023-08-20,Giza,30.030481467583265,31.203984399438493,Electronics,4244.08,10,0.2,33952.67,31.0,High
2023-11-15,Cairo,30.043380976282247,31.250280753950413,Home,2402.6,5,0.3,8409.11,51.0,High
2023-10-21,Cairo,30.051392510888288,31.2556249540869,Clothing,200.82,10,0.3,1405.72,27.0,Middle
2023-03-10,Cairo,30.051129799604695,31.233080443687417,Electronics,3099.91,7,0.25,16274.52,35.0,High
2023-11-22,Mansoura,31.034241490773162,31.381213338021453,Electronics,4999.44,7,0.1,31496.5,24.0,High
2023-07-16,Cairo,30.038513153564956,31.239211853575608,Clothing,1254.54,7,0.1,7903.63,21.0,High
2023-10-22,Giza,30.02837013261226,31.211242851461023,Groceries,252.76,9,0.3,1592.39,29.0,Middle
2023-11-24,Mansoura,31.04660129945518,31.380975884827706,Groceries,193.92,10,0.3,1357.42,33.0,Middle
2023-04-27,Giza,30.006296573809003,31.222548573875855,Clothing,1126.77,6,0.25,5070.46,42.0,High
2023-02-10,Zagazig,30.584587207161206,31.483992569438904,Clothing,1246.92,5,0.25,4675.97,27.0,High
2023-03-25,Cairo,30.034544121793285,31.229147487103898,Clothing,319.96,9,0.2,2303.75,42.0,Middle
2023-06-05,Mansoura,31.051565016591812,31.38488739279477,Electronics,3924.03,8,0.1,28253.03,31.0,High
2023-10-26,Mansoura,31.0383823317293,31.373537694395118,Electronics,4353.93,4,0.1,15674.14,29.0,High
2023-11-11,Cairo,30.042015543328503,31.238564700864337,Clothing,253.13,9,0.0,2278.13,43.0,Middle
2023-01-03,Alexandria,31.208509186365305,29.929565719049307,Electronics,2539.69,9,0.25,17142.88,28.0,High
2023-07-06,Alexandria,31.18330573380615,29.934701290994404,Sports,850.82,8,0.25,5104.92,57.0,High
2023-06-02,Giza,30.012730971592713,31.211674465826107,Clothing,1310.96,10,0.1,11798.61,40.0,High
2023-03-23,Cairo,30.044290988029005,31.250595033636174,Electronics,4231.23,11,0.0,46543.53,19.0,High
2023-02-13,Cairo,30.04154391482611,31.23711863298207,Groceries,203.8,8,0.3,1141.27,34.0,Middle
2023-05-04,Zagazig,30.58220462201422,31.49896465993282,Clothing,1246.14,8,0.15,8473.75,27.0,High
2023-12-11,Alexandria,31.192999409433796,29.90326883145189,Clothing,789.46,10,0.5,3947.29,18.0,High
2023-04-28,Alexandria,31.20292450489265,29.908667105089044,Clothing,1337.34,11,0.2,11768.63,48.0,High
2023-07-09,Cairo,30.034299135411406,31.235747159609176,Home,968.43,8,0.0,7747.45,48.0,High
2023-09-14,Giza,30.014711849222522,31.20915649549189,Clothing,1115.95,10,0.1,10043.55,26.0,High
2023-05-13,Cairo,30.038870950616293,31.237994419029206,Groceries,87.69,10,0.2,701.52,44.0,Low
2023-12-21,Giza,30.008235944801747,31.227264937199397,Electronics,1639.52,8,0.2,10492.91,46.0,High
2023-12-18,Alexandria,31.202069911561168,29.926211278314195,Clothing,569.4,8,0.1,4099.66,35.0,High
2023-04-02,Zagazig,30.58272409255356,31.51004466090686,Sports,1137.94,7,0.0,7965.59,46.0,High
2023-07-01,Mansoura,31.053570446625294,31.396779782491553,Electronics,4452.03,11,0.1,44075.06,39.0,High
2023-04-20,Alexandria,31.19869933973722,29.91513553479176,Groceries,162.48,6,0.25,731.16,49.0,Low
2023-04-14,Giza,30.02356648360842,31.20381090195285,Home,858.3,6,0.1,4634.83,21.0,High
2023-01-14,Cairo,30.036780721559456,31.247924560956044,Groceries,297.97,10,0.25,2234.81,37.0,Middle
2023-08-11,Alexandria,31.19225898626498,29.92355833146926,Home,1040.15,9,0.3,6552.92,37.0,High
2023-07-03,Zagazig,30.571069444851197,31.501556537878468,Electronics,4948.53,5,0.1,22268.39,21.0,High
2023-01-19,Giza,30.00817842425208,31.208294406493746,Home,2372.67,5,0.0,11863.35,22.0,High
2023-04-12,Cairo,30.042073940970106,31.23398030328491,Electronics,3398.55,4,0.0,13594.18,18.0,High
2023-11-28,Mansoura,31.04167028020846,31.377490033585804,Groceries,45.75,9,0.1,370.57,36.0,Low
2023-03-29,Giza,30.020073507446384,31.20887206927338,Groceries,214.72,11,0.0,2361.88,30.0,Middle
2023-02-22,Cairo,30.050647953894696,31.232725450701356,Home,2191.44,5,0.1,9861.46,20.0,High
2023-06-28,Mansoura,31.052256412676748,31.384054115258493,Sports,1057.01,9,0.15,8086.14,50.0,High
2023-12-26,Cairo,30.03552698632964,31.243165416529873,Groceries,86.93,8,0.0,695.45,40.0,Low
2023-03-30,Mansoura,31.041208242044277,31.37285314882855,Home,2105.65,4,0.0,8422.59,26.0,High
2023-09-03,Mansoura,31.030898324485513,31.387526206787324,Clothing,908.6,6,0.3,3816.12,37.0,High
2023-10-05,Mansoura,31.045042344193014,31.365786281489335,Electronics,2191.71,9,0.15,16766.54,32.0,High
2023-03-28,Cairo,30.06244255137078,31.24073757313416,Clothing,1434.4,7,0.3,7028.56,18.0,High
2023-09-23,Mansoura,31.02893571794899,31.384037517287087,Clothing,1432.53,11,0.0,15757.8,38.0,High
2023-05-15,Giza,30.019975477146215,31.208062694503248,Clothing,677.16,9,0.0,6094.48,55.0,High
2023-08-19,Zagazig,30.59818640709121,31.50257389514687,Home,628.01,6,0.25,2826.03,52.0,Middle
2023-08-20,Zagazig,30.578772720289628,31.499665290815066,Groceries,196.62,10,0.15,1671.28,36.0,Middle
2023-07-15,Mansoura,31.045263281949033,31.373423483282576,Clothing,612.39,7,0.3,3000.73,30.0,High
2023-02-02,Zagazig,30.584100668285192,31.502005059017197,Home,632.71,8,0.25,3796.26,42.0,High
2023-11-01,Zagazig,30.58648834107197,31.496537006874433,Groceries,269.71,11,0.15,2521.75,38.0,Middle
2023-04-28,Mansoura,31.036969481041215,31.38989533762373,Electronics,4993.41,2,0.15,8488.79,33.0,High
2023-03-10,Mansoura,31.038651246220475,31.357474577951468,Groceries,118.11,8,0.25,708.68,57.0,Low
2023-01-15,Giza,30.024655297763577,31.207554239321098,Groceries,228.53,7,0.25,1199.78,30.0,Middle
2023-08-04,Alexandria,31.19930858860754,29.899692381746224,Clothing,285.5,7,0.1,1798.66,46.0,Middle
2023-09-05,Cairo,30.038383308228926,31.225061503690075,Home,1239.41,7,0.2,6940.7,37.0,High
2023-01-07,Mansoura,31.041589975611625,31.37273190985801,Sports,484.88,7,0.2,2715.32,37.0,Middle
2023-07-06,Mansoura,31.019678665873254,31.391895873831157,Electronics,1693.72,7,0.3,8299.25,18.0,High
2023-03-24,Zagazig,30.57953103911822,31.5135368109936,Home,1677.58,9,0.3,10568.77,48.0,High
2023-08-24,Giza,30.025585911362494,31.20962692421676,Clothing,1242.64,7,0.1,7828.63,45.0,High
2023-03-05,Zagazig,30.586246546855126,31.502638626688764,Home,1405.94,5,0.3,4920.79,37.0,High
2023-09-10,Mansoura,31.036119659873684,31.388874882160472,Sports,1191.1,10,0.3,8337.73,47.0,High
2023-05-22,Mansoura,31.04262969807956,31.38981354565524,Electronics,2447.56,6,0.0,14685.33,40.0,High
2023-12-08,Zagazig,30.595066199329008,31.496252027037528,Groceries,226.19,13,0.2,2352.36,19.0,Middle
2023-02-20,Mansoura,31.054187414300994,31.385227618409004,Electronics,2763.76,6,0.15,14095.16,23.0,High
2023-05-05,Alexandria,31.195589738813844,29.90913551410765,Sports,414.75,9,0.15,3172.82,34.0,High
2023-02-11,Cairo,30.040119807442913,31.231805340746025,Electronics,2079.28,3,0.25,4678.37,18.0,High
2023-12-04,Cairo,30.04216827759027,31.24164203731486,Electronics,1949.64,5,0.0,9748.2,48.0,High
2023-11-17,Cairo,30.054691608274695,31.22912300282822,Clothing,766.64,4,0.25,2299.92,32.0,Middle
2023-04-05,Alexandria,31.200670416846787,29.9151500959954,Groceries,38.26,10,0.0,382.6,37.0,Low
2023-08-29,Mansoura,31.062558797413914,31.361912637481584,Sports,1671.02,8,0.2,10694.55,23.0,High
2023-10-26,Zagazig,30.586089918338054,31.50650820987623,Clothing,1380.41,9,0.1,11181.29,43.0,High
2023-07-22,Giza,30.03073485607418,31.200074397892624,Electronics,2369.38,9,0.2,17059.53,33.0,High
2023-07-13,Mansoura,31.031969694980916,31.370288680395117,Electronics,3199.28,8,0.15,21755.13,31.0,High
2023-03-30,Alexandria,31.186201529339428,29.93225236176772,Home,1538.13,8,0.5,6152.5,52.0,High
2023-02-03,Alexandria,31.199085711068197,29.91182663556079,Clothing,1480.5,8,0.3,8290.81,51.0,High
2023-11-24,Cairo,30.055793869305163,31.24322486553812,Sports,411.55,10,0.1,3703.98,44.0,High
2023-11-25,Mansoura,31.036130206106773,31.3894922834539,Sports,1435.4,6,0.15,7320.54,38.0,High
2023-08-20,Cairo,30.038234630728716,31.244872984966094,Sports,887.8,7,0.1,5593.14,29.0,High
2023-05-04,Giza,30.02335014696115,31.20640842068434,Sports,1153.07,11,0.25,9512.83,32.0,High
2023-05-08,Cairo,30.05145099736905,31.23142804267255,Electronics,2259.62,4,0.15,7682.71,31.0,High
2023-09-22,Giza,30.005175848483002,31.199766836055286,Electronics,2060.85,8,0.0,16486.78,40.0,High
2023-11-24,Alexandria,31.191591136999723,29.90108492602219,Clothing,516.63,10,0.2,4133.08,35.0,High
2023-11-20,Cairo,30.05269292111342,31.24342228101416,Groceries,39.95,7,0.0,279.67,35.0,Low
2023-10-12,Cairo,30.02808129416867,31.242471939985332,Sports,772.75,7,0.1,4868.35,53.0,High
2023-08-23,Zagazig,30.598495235160502,31.506769750186645,Electronics,3916.23,5,0.3,13706.8,49.0,High
2023-01-31,Alexandria,31.207018287913115,29.890318705171705,Clothing,1046.93,9,0.0,9422.34,26.0,High
2023-02-28,Zagazig,30.56489087891792,31.500227862959193,Sports,1242.64,9,0.15,9506.22,39.0,High
2023-11-24,Giza,30.013255682748127,31.2151953647619,Groceries,20.11,9,0.25,135.73,26.0,Low
2023-08-10,Giza,29.9933113183986,31.221765531209197,Sports,513.83,9,0.3,3237.13,42.0,High
2023-01-04,Alexandria,31.18804910833636,29.921689146085285,Home,2185.74,9,0.2,15737.32,58.0,High
2023-02-07,Giza,30.008070289890934,31.21083892516102,Sports,761.96,10,0.0,7619.55,31.0,High
2023-08-31,Alexandria,31.187422114357382,29.911911574556346,Home,2324.4,10,0.3,16270.78,44.0,High
2023-01-02,Giza,30.035281609054444,31.21268555591819,Groceries,264.87,11,0.25,2185.2,54.0,Middle
2023-02-28,Mansoura,31.049540580536142,31.376131669111157,Home,809.85,9,0.1,6559.82,33.0,High
2023-07-20,Cairo,30.05807439043163,31.228406346493642,Groceries,271.48,11,0.1,2687.68,41.0,Middle
2023-09-10,Mansoura,31.03949713491652,31.3669257470359,Clothing,1016.19,9,0.0,9145.67,56.0,High
2023-08-26,Alexandria,31.20040467406804,29.90924284074771,Home,1760.57,8,0.0,14084.59,24.0,High
2023-03-23,Alexandria,31.215907270423983,29.921949206263704,Sports,1749.56,6,0.25,7873.0,23.0,High
2023-09-17,Mansoura,31.04523732394028,31.364621225371124,Sports,988.59,9,0.0,8897.35,20.0,High
2023-03-28,Cairo,30.050522418014477,31.232758922290763,Clothing,1155.84,4,0.0,4623.37,44.0,High
2023-04-29,Cairo,30.035288204148564,31.24877809329358,Electronics,3837.18,8,0.0,30697.4,23.0,High
2023-09-30,Zagazig,30.578541881958248,31.48765881602447,Groceries,236.02,10,0.1,2124.22,42.0,Middle
2023-08-26,Giza,30.01571039982587,31.21339257756079,Electronics,3810.66,5,0.0,19053.31,51.0,High
2023-11-06,Zagazig,30.5914296933721,31.507471794809536,Electronics,1780.19,7,0.3,8722.94,27.0,High
2023-08-29,Cairo,30.034429088757346,31.23278708213364,Clothing,580.52,10,0.1,5224.72,26.0,High
2023-07-27,Mansoura,31.04448456966228,31.384721351865316,Clothing,1421.9,12,0.3,11943.94,43.0,High
2023-02-04,Giza,30.00088330397757,31.207019624851604,Home,946.85,9,0.5,4260.83,36.0,High
2023-05-15,Mansoura,31.041038301997236,31.38645276810039,Home,1444.52,12,0.25,13000.69,18.0,High
2023-04-07,Zagazig,30.57332512704493,31.491319165603926,Home,1213.86,10,0.0,12138.56,53.0,High
2023-03-31,Alexandria,31.213379905881837,29.937590496927797,Home,672.6,7,0.1,4237.36,42.0,High
2023-12-22,Mansoura,31.03778777881365,31.392872505864688,Home,862.38,10,0.1,7761.4,30.0,High
2023-05-24,Zagazig,30.580764314904822,31.479702833851658,Sports,787.33,9,0.15,6023.11,30.0,High
2023-11-22,Zagazig,30.57624261716948,31.513724249199676,Clothing,802.31,7,0.0,5616.2,43.0,High
2023-08-19,Zagazig,30.57528014640052,31.496229799470203,Groceries,264.87,8,0.0,2118.93,34.0,Middle
2023-10-18,Alexandria,31.204464102386872,29.933025098198225,Groceries,164.37,8,0.0,1314.98,36.0,Middle
2023-07-03,Alexandria,31.210138018896355,29.928788695027674,Groceries,202.53,9,0.1,1640.52,37.0,Middle
2023-07-30,Alexandria,31.209137327842985,29.907828327342838,Groceries,139.27,9,0.0,1253.41,25.0,Middle
2023-06-29,Giza,30.027065915625222,31.214650853104395,Groceries,263.62,10,0.0,2636.17,31.0,Middle
2023-03-13,Alexandria,31.217581804580693,29.91169157014464,Sports,1426.46,9,0.0,12838.11,33.0,High
2023-09-21,Alexandria,31.20967926865336,29.92408038363925,Clothing,317.82,12,0.25,2860.37,26.0,Middle
2023-04-13,Alexandria,31.195071071412364,29.919160358101127,Home,1455.0,9,0.0,13095.02,38.0,High
2023-01-09,Mansoura,31.042594810474206,31.371205098892386,Home,2154.47,6,0.25,9695.11,41.0,High
2023-08-24,Alexandria,31.177530346155233,29.905330187195243,Home,1967.31,12,0.15,20066.57,55.0,High
2023-03-06,Giza,30.01947580137782,31.211200726831454,Clothing,1376.9,7,0.25,7228.75,26.0,High
2023-12-10,Zagazig,30.589192655103936,31.506640724064287,Clothing,495.97,8,0.15,3372.58,46.0,High
2023-12-15,Mansoura,31.056852280459037,31.376921534437887,Sports,1961.19,9,0.3,12355.51,52.0,High
2023-11-30,Cairo,30.036966407383744,31.227958750310485,Sports,784.63,15,0.1,10592.53,46.0,High
2023-05-16,Alexandria,31.20525515634015,29.91386785909417,Home,600.36,10,0.25,4502.7,29.0,High
2023-01-06,Zagazig,30.57766655936254,31.491037709007465,Clothing,844.37,7,0.0,5910.62,31.0,High
2023-12-05,Zagazig,30.586599665757404,31.509361028732975,Home,720.68,6,0.3,3026.85,53.0,High
2023-06-06,Mansoura,31.024547341140103,31.356906689150442,Sports,1458.23,5,0.0,7291.14,33.0,High
2023-12-19,Cairo,30.057960463466316,31.24521724845002,Home,2301.11,7,0.15,13691.62,35.0,High
2023-12-18,Giza,30.02362649388648,31.208140623628292,Sports,1866.28,9,0.15,14277.07,29.0,High
2023-11-08,Zagazig,30.58297315611563,31.507216414117302,Electronics,3624.63,3,0.2,8699.11,44.0,High
2023-04-18,Zagazig,30.590318353205717,31.508197561240664,Groceries,169.87,10,0.15,1443.93,18.0,Middle
2023-05-21,Zagazig,30.588084855283412,31.503172918679642,Electronics,4978.97,2,0.2,7966.35,25.0,High
2023-11-07,Zagazig,30.581576062152788,31.49809970813342,Home,1658.85,6,0.3,6967.18,23.0,High
